"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.original_language","Input.original_text","Input.translated_language","Input.translated_text","Answer.type.acceptable","Answer.type.not_acceptable","Answer.type.perfect","Approve","Reject"
"3YGYP1365I04Y7RUPEX8081VYSKRNQ","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:35:49 PST 2024","2","BatchId:5172605;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:35:49 PST 2024","","","3VBEN272M2QDBE7E72PKPISKZI4GSJ","A17F57AXF8N79F","Approved","Wed Jan 03 12:35:51 PST 2024","Wed Jan 03 12:40:24 PST 2024","Sat Jan 06 12:40:24 PST 2024","Thu Jan 04 09:52:34 PST 2024","","","273","100% (27/27)","0% (0/0)","0% (0/0)","English","Write a python function to remove first and last occurrence of a given character from the string.","Japanese","文字列から指定された文字の最初と最後の出現を削除する Python 関数を作成します。","false","false","true"
"3YGYP1365I04Y7RUPEX8081VYSKRNQ","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:35:49 PST 2024","2","BatchId:5172605;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:35:49 PST 2024","","","3E337GFOLRZGV1F9Z68YQOIECJWGN7","ACU8RTAZQU1GP","Approved","Wed Jan 03 12:35:50 PST 2024","Wed Jan 03 13:33:13 PST 2024","Sat Jan 06 13:33:13 PST 2024","Thu Jan 04 09:52:34 PST 2024","","","3443","100% (11/11)","0% (0/0)","0% (0/0)","English","Write a python function to remove first and last occurrence of a given character from the string.","Japanese","文字列から指定された文字の最初と最後の出現を削除する Python 関数を作成します。","false","false","true"
"3VQTAXTYOKCUDQUEQIN4EOOLO2AUB8","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:35:41 PST 2024","2","BatchId:5172605;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:35:41 PST 2024","","","3LBXNTKX09M6SL65N6PXW9NPAKB9XT","A3BD6HXLYH3CGH","Approved","Wed Jan 03 12:35:49 PST 2024","Wed Jan 03 12:37:14 PST 2024","Sat Jan 06 12:37:14 PST 2024","Thu Jan 04 09:52:31 PST 2024","","","85","100% (2/2)","0% (0/0)","0% (0/0)","English","Write a python function to find the element of a list having maximum length.","Japanese","最大長を持つリストの要素を見つけるための Python 関数を作成します。","true","false","false"
"3VQTAXTYOKCUDQUEQIN4EOOLO2AUB8","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:35:41 PST 2024","2","BatchId:5172605;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:35:41 PST 2024","","","32KTQ2V7RV6VY9719ZNOLS7R3GR9M9","A3GC5ZF6MBNJE4","Approved","Wed Jan 03 12:35:45 PST 2024","Wed Jan 03 12:42:51 PST 2024","Sat Jan 06 12:42:51 PST 2024","Thu Jan 04 09:52:31 PST 2024","","","426","100% (15/15)","0% (0/0)","0% (0/0)","English","Write a python function to find the element of a list having maximum length.","Japanese","最大長を持つリストの要素を見つけるための Python 関数を作成します。","false","false","true"
"3YD0MU1NDJSNW5DQ7WUX9LQVY9S7AO","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:35:49 PST 2024","2","BatchId:5172605;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:35:49 PST 2024","","","3N4BPTXIOQJYSDV1MY5Z2B21RW6UKG","A2Y92V6R8ZK2WB","Approved","Wed Jan 03 12:36:30 PST 2024","Wed Jan 03 12:37:11 PST 2024","Sat Jan 06 12:37:11 PST 2024","Thu Jan 04 09:52:34 PST 2024","","","41","100% (19/19)","0% (0/0)","0% (0/0)","English","Write a function to sort a given matrix in ascending order according to the sum of its rows.","Japanese","指定された行列を行の合計に従って昇順に並べ替える関数を作成します。","true","false","false"
"3YD0MU1NDJSNW5DQ7WUX9LQVY9S7AO","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:35:49 PST 2024","2","BatchId:5172605;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:35:49 PST 2024","","","3RSDURM96SDCNMNW0DRL71V93NLYEY","A38UUB83BIPIUR","Approved","Wed Jan 03 12:38:28 PST 2024","Wed Jan 03 12:40:50 PST 2024","Sat Jan 06 12:40:50 PST 2024","Thu Jan 04 09:52:34 PST 2024","","","142","100% (26/26)","0% (0/0)","0% (0/0)","English","Write a function to sort a given matrix in ascending order according to the sum of its rows.","Japanese","指定された行列を行の合計に従って昇順に並べ替える関数を作成します。","false","false","true"
"338431Z1G26MGSR6QTXLFX10O2PRO5","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:35:49 PST 2024","2","BatchId:5172605;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:35:49 PST 2024","","","34HJIJKLPNNDRQVY6WSORGFO8HP4VP","A2Z683M20EN77O","Approved","Wed Jan 03 12:35:50 PST 2024","Wed Jan 03 12:36:33 PST 2024","Sat Jan 06 12:36:33 PST 2024","Thu Jan 04 09:51:28 PST 2024","","","43","100% (5/5)","0% (0/0)","0% (0/0)","English","Write a python function to find the volume of a triangular prism.","Japanese","三角柱の体積を求める Python 関数を作成します。","true","false","false"
"338431Z1G26MGSR6QTXLFX10O2PRO5","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:35:49 PST 2024","2","BatchId:5172605;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:35:49 PST 2024","","","3DHE4R9OCE2K6FQGDNAEY0FG1O62G3","A2GKYR5YZ6L6WX","Approved","Wed Jan 03 12:37:14 PST 2024","Wed Jan 03 12:48:26 PST 2024","Sat Jan 06 12:48:26 PST 2024","Thu Jan 04 09:51:28 PST 2024","","","672","100% (7/7)","0% (0/0)","0% (0/0)","English","Write a python function to find the volume of a triangular prism.","Japanese","三角柱の体積を求める Python 関数を作成します。","true","false","false"
"3NQUW096ONZ867SNJKH7WVXCNBF9LK","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:35:41 PST 2024","2","BatchId:5172605;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:35:41 PST 2024","","","3I33IC7ZWXTJWODDRNI42E4D3TS2AQ","A1GP5TMETA533V","Approved","Wed Jan 03 12:35:51 PST 2024","Wed Jan 03 12:43:56 PST 2024","Sat Jan 06 12:43:56 PST 2024","Thu Jan 04 09:52:06 PST 2024","","","485","100% (2/2)","0% (0/0)","0% (0/0)","English","Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.","Japanese","指定された数値リストのすべての数値を四捨五入し、リストの長さを乗算した合計を出力する関数を作成します。","true","false","false"
"3NQUW096ONZ867SNJKH7WVXCNBF9LK","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:35:41 PST 2024","2","BatchId:5172605;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:35:41 PST 2024","","","3JW0YLFXRB72FHEN6C338AHTZJPWWC","A2ZQDJXV4LZ3J9","Approved","Wed Jan 03 12:35:48 PST 2024","Wed Jan 03 12:43:56 PST 2024","Sat Jan 06 12:43:56 PST 2024","Thu Jan 04 09:52:06 PST 2024","","","488","100% (8/8)","0% (0/0)","0% (0/0)","English","Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.","Japanese","指定された数値リストのすべての数値を四捨五入し、リストの長さを乗算した合計を出力する関数を作成します。","false","false","true"
