"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.original_language","Input.original_text","Input.translated_language","Input.translated_text","Answer.type.acceptable","Answer.type.not_acceptable","Answer.type.perfect","Approve","Reject"
"37OPIVELVBUKPUJ2K5G90YFPCCOAHT","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:36:34 PST 2024","2","BatchId:5172606;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:36:34 PST 2024","","","34HJIJKLPNNDRQVY6WSORGFO8HQ4VQ","A1L3U3RWM8F6N8","Approved","Wed Jan 03 12:37:34 PST 2024","Wed Jan 03 12:39:41 PST 2024","Sat Jan 06 12:39:41 PST 2024","Thu Jan 04 09:49:20 PST 2024","","","127","100% (6/6)","0% (0/0)","0% (0/0)","English","Write a python function to find the element of a list having maximum length.","Spanish","Escriba una función de Python para encontrar el elemento de una lista que tenga la longitud máxima.","false","false","true"
"37OPIVELVBUKPUJ2K5G90YFPCCOAHT","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:36:34 PST 2024","2","BatchId:5172606;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:36:34 PST 2024","","","33PPO7FECD6L5GUR00UYFVJ0DSMDIE","A2EWQGZOPQ309","Approved","Wed Jan 03 12:37:08 PST 2024","Wed Jan 03 12:51:09 PST 2024","Sat Jan 06 12:51:09 PST 2024","Thu Jan 04 09:49:20 PST 2024","","","841","100% (6/6)","0% (0/0)","0% (0/0)","English","Write a python function to find the element of a list having maximum length.","Spanish","Escriba una función de Python para encontrar el elemento de una lista que tenga la longitud máxima.","true","false","false"
"37SDSEDIOQTV2V59LITACKTN5ZS81O","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:36:44 PST 2024","2","BatchId:5172606;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:36:44 PST 2024","","","3TPZPLC3MI3F4AFYK6E6BJY08TT3PJ","A36L0Y4GIPC4RT","Approved","Wed Jan 03 12:37:13 PST 2024","Wed Jan 03 13:30:47 PST 2024","Sat Jan 06 13:30:47 PST 2024","Thu Jan 04 09:49:21 PST 2024","","","3214","100% (13/13)","0% (0/0)","0% (0/0)","English","Write a python function to remove first and last occurrence of a given character from the string.","Spanish","Escriba una función de Python para eliminar la primera y la última aparición de un carácter determinado de la cadena.","true","false","false"
"37SDSEDIOQTV2V59LITACKTN5ZS81O","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:36:44 PST 2024","2","BatchId:5172606;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:36:44 PST 2024","","","3WT783CTPT81DGA7UU7692X5X2RCB5","A2APSTPZSK0HA6","Approved","Wed Jan 03 13:38:43 PST 2024","Wed Jan 03 13:40:48 PST 2024","Sat Jan 06 13:40:48 PST 2024","Thu Jan 04 09:49:21 PST 2024","","","125","100% (13/13)","0% (0/0)","0% (0/0)","English","Write a python function to remove first and last occurrence of a given character from the string.","Spanish","Escriba una función de Python para eliminar la primera y la última aparición de un carácter determinado de la cadena.","true","false","false"
"3VZYA8PIU5PC8O1PR1I7MV0MYHL50G","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:36:34 PST 2024","2","BatchId:5172606;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:36:34 PST 2024","","","3W8CV64QJKQ96V6QI27BTNZVMUT9H1","A3VPZJA22OLA5I","Approved","Wed Jan 03 12:37:34 PST 2024","Wed Jan 03 12:46:09 PST 2024","Sat Jan 06 12:46:09 PST 2024","Thu Jan 04 09:50:10 PST 2024","","","515","100% (9/9)","0% (0/0)","0% (0/0)","English","Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.","Spanish","Escribe una función para redondear cada número de una lista de números dada e imprime la suma total multiplicada por la longitud de la lista.","false","false","true"
"3VZYA8PIU5PC8O1PR1I7MV0MYHL50G","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:36:34 PST 2024","2","BatchId:5172606;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:36:34 PST 2024","","","33CKWXB731BGDFIHC0PXMU157T911L","A1GVBR0MBY02ND","Approved","Wed Jan 03 12:36:55 PST 2024","Wed Jan 03 12:54:40 PST 2024","Sat Jan 06 12:54:40 PST 2024","Thu Jan 04 09:50:10 PST 2024","","","1065","100% (15/15)","0% (0/0)","0% (0/0)","English","Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.","Spanish","Escribe una función para redondear cada número de una lista de números dada e imprime la suma total multiplicada por la longitud de la lista.","true","false","false"
"34D9ZRXCZ8L9F3XIVZS84CMRLN5ASE","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:36:44 PST 2024","2","BatchId:5172606;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:36:44 PST 2024","","","3LS2AMNW5XHPQB9Z3HDNZRML8GAQOR","A2P49UVZY1KWAQ","Approved","Wed Jan 03 12:38:05 PST 2024","Wed Jan 03 12:38:19 PST 2024","Sat Jan 06 12:38:19 PST 2024","Thu Jan 04 09:49:10 PST 2024","","","14","100% (6/6)","0% (0/0)","0% (0/0)","English","Write a function to sort a given matrix in ascending order according to the sum of its rows.","Spanish","Escribe una función para ordenar una matriz dada en orden ascendente según la suma de sus filas.","false","false","true"
"34D9ZRXCZ8L9F3XIVZS84CMRLN5ASE","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:36:44 PST 2024","2","BatchId:5172606;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:36:44 PST 2024","","","3PMBY0YE2PUIPNVAWATAIW2F92OC9V","A2EWQGZOPQ309","Approved","Wed Jan 03 12:37:57 PST 2024","Wed Jan 03 12:52:32 PST 2024","Sat Jan 06 12:52:32 PST 2024","Thu Jan 04 09:49:10 PST 2024","","","875","100% (6/6)","0% (0/0)","0% (0/0)","English","Write a function to sort a given matrix in ascending order according to the sum of its rows.","Spanish","Escribe una función para ordenar una matriz dada en orden ascendente según la suma de sus filas.","true","false","false"
"39XCQ6V3LFV7MZN4TQYOVWADBK756H","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:36:44 PST 2024","2","BatchId:5172606;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:36:44 PST 2024","","","3NAPMVF0ZE61DMFFKK6KSN2N2LN270","A2UM9PEWDWXFC3","Approved","Wed Jan 03 12:37:12 PST 2024","Wed Jan 03 12:41:55 PST 2024","Sat Jan 06 12:41:55 PST 2024","Thu Jan 04 09:49:24 PST 2024","","","283","100% (28/28)","0% (0/0)","0% (0/0)","English","Write a python function to find the volume of a triangular prism.","Spanish","Escribe una función de Python para encontrar el volumen de un prisma triangular.","false","false","true"
"39XCQ6V3LFV7MZN4TQYOVWADBK756H","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:36:44 PST 2024","2","BatchId:5172606;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:36:44 PST 2024","","","3C8HJ7UOPPLA40PEDXHNYG9KIJGMZ2","A3SWUZI69ZRFVT","Approved","Wed Jan 03 12:37:37 PST 2024","Wed Jan 03 12:44:55 PST 2024","Sat Jan 06 12:44:55 PST 2024","Thu Jan 04 09:49:24 PST 2024","","","438","100% (9/9)","0% (0/0)","0% (0/0)","English","Write a python function to find the volume of a triangular prism.","Spanish","Escribe una función de Python para encontrar el volumen de un prisma triangular.","false","false","true"
