"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.original_language","Input.original_text","Input.translated_language","Input.translated_text","Answer.type.acceptable","Answer.type.not_acceptable","Answer.type.perfect","Approve","Reject"
"30ZKOOGW3DX9LJYOIGDO8BZIVNS1AL","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:34:40 PST 2024","2","BatchId:5172602;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:34:40 PST 2024","","","3VHHR074HL87E81NUQOP7J1W8LF7LV","A31M591P54X7AY","Approved","Wed Jan 03 12:41:25 PST 2024","Wed Jan 03 12:50:30 PST 2024","Sat Jan 06 12:50:30 PST 2024","Thu Jan 04 09:53:26 PST 2024","","","545","100% (8/8)","0% (0/0)","0% (0/0)","English","Write a python function to remove first and last occurrence of a given character from the string.","Chinese","编写一个 python 函数，从字符串中删除第一次和最后一次出现的给定字符。","true","false","false"
"30ZKOOGW3DX9LJYOIGDO8BZIVNS1AL","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:34:40 PST 2024","2","BatchId:5172602;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:34:40 PST 2024","","","3J2UYBXQQ33BDCYWMNXE3L9CACI60K","A281WBQ3BXHHXQ","Approved","Wed Jan 03 13:35:13 PST 2024","Wed Jan 03 14:11:20 PST 2024","Sat Jan 06 14:11:20 PST 2024","Thu Jan 04 09:53:26 PST 2024","","","2167","100% (10/10)","0% (0/0)","0% (0/0)","English","Write a python function to remove first and last occurrence of a given character from the string.","Chinese","编写一个 python 函数，从字符串中删除第一次和最后一次出现的给定字符。","false","false","true"
"3XT3KXP25GPJYNIJ0AHIK5EIG6D6IS","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:34:40 PST 2024","2","BatchId:5172602;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:34:40 PST 2024","","","3LPW2N6LKBTVAUAYFB1T0MJJU6B5U6","A2K1R1ZZ4YBECP","Approved","Wed Jan 03 12:34:54 PST 2024","Wed Jan 03 12:56:53 PST 2024","Sat Jan 06 12:56:53 PST 2024","Thu Jan 04 09:54:29 PST 2024","","","1319","100% (7/7)","0% (0/0)","0% (0/0)","English","Write a function to sort a given matrix in ascending order according to the sum of its rows.","Chinese","编写一个函数，根据给定矩阵的行总和对给定矩阵进行升序排序。","true","false","false"
"3XT3KXP25GPJYNIJ0AHIK5EIG6D6IS","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:34:40 PST 2024","2","BatchId:5172602;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:34:40 PST 2024","","","3WRFBPLXRSFF1P3L4R1E7UT58FBN3S","A2C7HID6AXV75B","Approved","Wed Jan 03 16:36:38 PST 2024","Wed Jan 03 17:36:30 PST 2024","Sat Jan 06 17:36:30 PST 2024","Thu Jan 04 09:54:29 PST 2024","","","3592","100% (23/23)","0% (0/0)","0% (0/0)","English","Write a function to sort a given matrix in ascending order according to the sum of its rows.","Chinese","编写一个函数，根据给定矩阵的行总和对给定矩阵进行升序排序。","true","false","false"
"31SIZS5W6Q6P144M56PP42W0337QRC","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:34:30 PST 2024","2","BatchId:5172602;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:34:30 PST 2024","","","31JLPPHS2CLXJA3X561RMJTAYOVO3L","A2I2Y4O5A0G3CF","Approved","Wed Jan 03 13:34:52 PST 2024","Wed Jan 03 14:29:13 PST 2024","Sat Jan 06 14:29:13 PST 2024","Thu Jan 04 09:53:28 PST 2024","","","3261","100% (21/21)","0% (0/0)","0% (0/0)","English","Write a python function to find the element of a list having maximum length.","Chinese","编写一个 python 函数来查找列表中具有最大长度的元素。","false","false","true"
"31SIZS5W6Q6P144M56PP42W0337QRC","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:34:30 PST 2024","2","BatchId:5172602;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:34:30 PST 2024","","","3SITXWYCND0PGEL2LQ3TNFIFYKDXBQ","A3HYTJ3VRBOQHQ","Approved","Wed Jan 03 14:35:05 PST 2024","Wed Jan 03 15:16:43 PST 2024","Sat Jan 06 15:16:43 PST 2024","Thu Jan 04 09:53:28 PST 2024","","","2498","100% (7/7)","0% (0/0)","0% (0/0)","English","Write a python function to find the element of a list having maximum length.","Chinese","编写一个 python 函数来查找列表中具有最大长度的元素。","false","false","true"
"33K3E8REXDM3SWQ2SBEH7TXOAE78XG","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:34:40 PST 2024","2","BatchId:5172602;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:34:40 PST 2024","","","34S6N1K2ZDA47X7Z7ZA1YWQQMO8LH8","A266G0S5CWEHPZ","Approved","Wed Jan 03 13:35:14 PST 2024","Wed Jan 03 13:38:56 PST 2024","Sat Jan 06 13:38:56 PST 2024","Thu Jan 04 09:53:31 PST 2024","","","222","100% (3/3)","0% (0/0)","0% (0/0)","English","Write a python function to find the volume of a triangular prism.","Chinese","编写一个 python 函数来求三棱柱的体积。","false","false","true"
"33K3E8REXDM3SWQ2SBEH7TXOAE78XG","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:34:40 PST 2024","2","BatchId:5172602;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:34:40 PST 2024","","","3GNA64GUZWV3I13HY2HOQLMURLAQ5R","A2IIB58VKKUONR","Approved","Wed Jan 03 14:36:17 PST 2024","Wed Jan 03 14:36:42 PST 2024","Sat Jan 06 14:36:42 PST 2024","Thu Jan 04 09:53:31 PST 2024","","","25","100% (30/30)","0% (0/0)","0% (0/0)","English","Write a python function to find the volume of a triangular prism.","Chinese","编写一个 python 函数来求三棱柱的体积。","true","false","false"
"31S7M7DAHXHRQM11HQMONVYOHIHTL3","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:34:40 PST 2024","2","BatchId:5172602;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:34:40 PST 2024","","","3WSELTNVRLTDGN7QA22031D3365ATQ","A38HBBKRVAJTSL","Approved","Wed Jan 03 13:35:14 PST 2024","Wed Jan 03 13:36:41 PST 2024","Sat Jan 06 13:36:41 PST 2024","Thu Jan 04 09:53:27 PST 2024","","","87","100% (18/18)","0% (0/0)","0% (0/0)","English","Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.","Chinese","编写一个函数，如果输入字符串包含以下划线连接的小写字母序列，则返回 true，否则返回 false。","false","true","false"
"31S7M7DAHXHRQM11HQMONVYOHIHTL3","3QY2P19FFZP8LVLPS68HA6FAEYYXNO","Rate the quality of a translation","Rate the quality of a translation","translation, quality, rating","$0.03","Wed Jan 03 12:34:40 PST 2024","2","BatchId:5172602;OriginalHitTemplateId:928390917;","3600","259200","Wed Jan 10 12:34:40 PST 2024","","","3NVC2EB658Q9DO7ZBTAPOARCCY0Y3C","A37A7NS9PO52EB","Approved","Wed Jan 03 13:35:56 PST 2024","Wed Jan 03 13:37:29 PST 2024","Sat Jan 06 13:37:29 PST 2024","Thu Jan 04 09:53:27 PST 2024","","","93","100% (11/11)","0% (0/0)","0% (0/0)","English","Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.","Chinese","编写一个函数，如果输入字符串包含以下划线连接的小写字母序列，则返回 true，否则返回 false。","false","true","false"
