source_file,task_id,prompt,code,test_imports,test_list,gpt_result
Benchmark Questions Verification V2.ipynb,11,Напишите функцию Python для удаления первого и последнего вхождения данного символа из строки.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ",[],"['assert remove_Occ(""hello"",""l"") == ""heo""', 'assert remove_Occ(""abcda"",""a"") == ""bcd""', 'assert remove_Occ(""PHP"",""P"") == ""H""']","def remove_first_last_char(string, char):
    # Check if the character exists in the string
    if char in string:
        # Remove the first occurrence of the character
        string = string.replace(char, '', 1)
        
        # Remove the last occurrence of the character
        string = string[::-1].replace(char, '', 1)[::-1]
    
    return string"
Benchmark Questions Verification V2.ipynb,12,"Напишите функцию, сортирующую заданную матрицу в порядке возрастания суммы ее строк.","def sort_matrix(M):
    result = sorted(M, key=sum)
    return result",[],"['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]', 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]', 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']","def sort_matrix_by_row_sum(matrix):
    row_sums = [sum(row) for row in matrix]
    sorted_indices = sorted(range(len(row_sums)), key=lambda x: row_sums[x])
    sorted_matrix = [matrix[i] for i in sorted_indices]
    return sorted_matrix"
Benchmark Questions Verification V2.ipynb,14,"Напишите функцию Python, чтобы найти объем треугольной призмы.","def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",[],"['assert find_Volume(10,8,6) == 240', 'assert find_Volume(3,2,2) == 6', 'assert find_Volume(1,2,1) == 1']","def volume_of_triangular_prism(base_length, base_width, height):
    base_area = 0.5 * base_length * base_width
    volume = base_area * height
    return volume"
Benchmark Questions Verification V2.ipynb,16,"Напишите функцию, которая возвращает true, если входная строка содержит последовательность строчных букв, соединенных подчеркиванием, и false в противном случае.","import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False",[],"['assert text_lowercase_underscore(""aab_cbbbc"")==(True)', 'assert text_lowercase_underscore(""aab_Abbbc"")==(False)', 'assert text_lowercase_underscore(""Aaab_abbbc"")==(False)']","def is_snake_case(string):
    # Split the string by underscores
    parts = string.split(""_"")
    
    # Check if each part is lowercase
    for part in parts:
        if not part.islower():
            return False
    
    # Check if the string contains underscores
    return len(parts) > 1"
Benchmark Questions Verification V2.ipynb,17,"Напишите функцию, которая возвращает периметр квадрата, учитывая длину его стороны в качестве входных данных.","def square_perimeter(a):
  perimeter=4*a
  return perimeter",[],"['assert square_perimeter(10)==40', 'assert square_perimeter(5)==20', 'assert square_perimeter(4)==16']","def perimeter(length):
    return 4 * length"
Benchmark Questions Verification V2.ipynb,18,"Напишите функцию для удаления символов из первой строки, присутствующих во второй строке.","NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ",[],"['assert remove_dirty_chars(""probasscurve"", ""pros"") == \'bacuve\'', 'assert remove_dirty_chars(""digitalindia"", ""talent"") == \'digiidi\'', 'assert remove_dirty_chars(""exoticmiles"", ""toxic"") == \'emles\'']","def remove_characters(string1, string2):
    cleaned_string = """"
    for char in string1:
        if char not in string2:
            cleaned_string += char
    return cleaned_string"
Benchmark Questions Verification V2.ipynb,19,"Напишите функцию, определяющую, содержит ли данный массив целых чисел какой-либо повторяющийся элемент.","def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ",[],"['assert test_duplicate(([1,2,3,4,5]))==False', 'assert test_duplicate(([1,2,3,4, 4]))==True', 'assert test_duplicate([1,1,2,2,3,3,4,4,5])==True']","def contains_duplicate(nums):
    return len(nums) != len(set(nums))"
Benchmark Questions Verification V2.ipynb,20,"Напишите функцию, проверяющую, является ли данное число деревянным мячом или нет.","def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False",[],"['assert is_woodall(383) == True', 'assert is_woodall(254) == False', 'assert is_woodall(200) == False']","def is_wooden_ball(number):
    if number == 0:
        return True
    else:
        return False"
Mike's Copy of Benchmark Questions Verification V2.ipynb,56,"Напишите функцию Python, чтобы проверить, является ли заданное число на единицу меньше его обратного значения в два раза.","def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ",[],"['assert check(70) == False', 'assert check(23) == False', 'assert check(73) == True']","def is_number_valid(number):
    return number == -2 * (1/number)"
Mike's Copy of Benchmark Questions Verification V2.ipynb,57,"Напишите функцию Python, чтобы найти наибольшее число, которое можно составить из заданного списка цифр.","def find_Max_Num(arr) : 
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ",[],"['assert find_Max_Num([1,2,3]) == 321', 'assert find_Max_Num([4,5,6,1]) == 6541', 'assert find_Max_Num([1,2,3,9]) == 9321']","def find_largest_number(digits):
    permutations = permutations(digits)
    largest_number = None
    for permutation in permutations:
        number = int(''.join(permutation))
        if largest_number is None or number > largest_number:
            largest_number = number
    return largest_number"
Mike's Copy of Benchmark Questions Verification V2.ipynb,58,"Напишите функцию Python, чтобы проверить, имеют ли данные два целых числа противоположный знак или нет.","def opposite_Signs(x,y): 
    return ((x ^ y) < 0); ",[],"['assert opposite_Signs(1,-2) == True', 'assert opposite_Signs(3,2) == False', 'assert opposite_Signs(-10,-10) == False', 'assert opposite_Signs(-2,2) == True']","def have_opposite_sign(a, b):
    if a < 0 and b > 0:
        return True
    elif a > 0 and b < 0:
        return True
    else:
        return False"
Mike's Copy of Benchmark Questions Verification V2.ipynb,59,Напишите функцию для нахождения n-го восьмиугольного числа.,"def is_octagonal(n): 
	return 3 * n * n - 2 * n ",[],"['assert is_octagonal(5) == 65', 'assert is_octagonal(10) == 280', 'assert is_octagonal(15) == 645']","def octagonal_number(n):
    return n * (3 * n - 2)"
Mike's Copy of Benchmark Questions Verification V2.ipynb,61,"Напишите функцию Python для подсчета количества подстрок, сумма цифр которых равна их длине.","from collections import defaultdict
def count_Substrings(s):
    n = len(s)
    count,sum = 0,0
    mp = defaultdict(lambda : 0)
    mp[0] += 1
    for i in range(n):
        sum += ord(s[i]) - ord('0')
        count += mp[sum - (i + 1)]
        mp[sum - (i + 1)] += 1
    return count",[],"[""assert count_Substrings('112112') == 6"", ""assert count_Substrings('111') == 6"", ""assert count_Substrings('1101112') == 12""]","def count_substrings(string):
    count = 0
    length = len(string)
    for i in range(length):
        for j in range(i+1, length+1):
            substring = string[i:j]
            if sum(int(digit) for digit in substring) == len(substring):
                count += 1
    return count"
Mike's Copy of Benchmark Questions Verification V2.ipynb,62,"Напишите функцию Python, чтобы найти наименьшее число в списке.","def smallest_num(xs):
  return min(xs)
",[],"['assert smallest_num([10, 20, 1, 45, 99]) == 1', 'assert smallest_num([1, 2, 3]) == 1', 'assert smallest_num([45, 46, 50, 60]) == 45']","def find_smallest_number(numbers):
    smallest = numbers[0]
    for num in numbers:
        if num < smallest:
            smallest = num
    return smallest"
Mike's Copy of Benchmark Questions Verification V2.ipynb,63,Напишите функцию для поиска максимальной разницы между доступными парами в заданном списке кортежей.,"def max_difference(test_list):
  temp = [abs(b - a) for a, b in test_list]
  res = max(temp)
  return (res) ",[],"['assert max_difference([(3, 5), (1, 7), (10, 3), (1, 2)]) == 7', 'assert max_difference([(4, 6), (2, 17), (9, 13), (11, 12)]) == 15', 'assert max_difference([(12, 35), (21, 27), (13, 23), (41, 22)]) == 23']","def max_difference(pairs):
    if len(pairs) < 2:
        return None"
Mike's Copy of Benchmark Questions Verification V2.ipynb,64,"Напишите функцию для сортировки списка кортежей, используя второе значение каждого кортежа.","def subject_marks(subjectmarks):
#subject_marks = [('English', 88), ('Science', 90), ('Maths', 97), ('Social sciences', 82)])
 subjectmarks.sort(key = lambda x: x[1])
 return subjectmarks",[],"[""assert subject_marks([('English', 88), ('Science', 90), ('Maths', 97), ('Social sciences', 82)])==[('Social sciences', 82), ('English', 88), ('Science', 90), ('Maths', 97)]"", ""assert subject_marks([('Telugu',49),('Hindhi',54),('Social',33)])==([('Social',33),('Telugu',49),('Hindhi',54)])"", ""assert subject_marks([('Physics',96),('Chemistry',97),('Biology',45)])==([('Biology',45),('Physics',96),('Chemistry',97)])""]","def sort_tuples(lst):
    return sorted(lst, key=lambda tup: tup[1])"
Mike's Copy of Benchmark Questions Verification V2.ipynb,65,"Напишите функцию, которая сглаживает список и суммирует все его элементы.","def recursive_list_sum(data_list):
	total = 0
	for element in data_list:
		if type(element) == type([]):
			total = total + recursive_list_sum(element)
		else:
			total = total + element
	return total",[],"['assert recursive_list_sum(([1, 2, [3,4],[5,6]]))==21', 'assert recursive_list_sum(([7, 10, [15,14],[19,41]]))==106', 'assert recursive_list_sum(([10, 20, [30,40],[50,60]]))==210']","def smooth_and_sum(lst):
    smoothed_lst = [lst[0]]
    for i in range(1, len(lst)-1):
        smoothed_lst.append((lst[i-1] + lst[i] + lst[i+1]) / 3)
    smoothed_lst.append(lst[-1])
    return sum(smoothed_lst)"
Mike's Copy of Benchmark Questions Verification V2.ipynb,66,Напишите функцию Python для подсчета количества положительных чисел в списке.,"def pos_count(list):
  pos_count= 0
  for num in list: 
    if num >= 0: 
      pos_count += 1
  return pos_count ",[],"['assert pos_count([1,-2,3,-4]) == 2', 'assert pos_count([3,4,5,-1]) == 3', 'assert pos_count([1,2,3,4]) == 4']","def count_positive_numbers(numbers):
    count = 0
    for num in numbers:
        if num > 0:
            count += 1
    return count"
