source_file,task_id,prompt,code,test_imports,test_list,gpt_result
Benchmark Questions Verification V2.ipynb,11,Escriba una función de Python para eliminar la primera y la última aparición de un carácter determinado de la cadena.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ",[],"['assert remove_Occ(""hello"",""l"") == ""heo""', 'assert remove_Occ(""abcda"",""a"") == ""bcd""', 'assert remove_Occ(""PHP"",""P"") == ""H""']","Aquí tienes una función de Python que elimina la primera y la última aparición de un carácter determinado de una cadena:

```python
def eliminar_apariciones(cadena, caracter):
    # Buscar la primera aparición del carácter
    primera_aparicion = cadena.find(caracter)
    if primera_aparicion != -1:
        # Buscar la última aparición del carácter
        ultima_aparicion = cadena.rfind(caracter)
        if ultima_aparicion != -1:
            # Eliminar la primera y la última aparición del carácter
            nueva_cadena = cadena[:primera_aparicion] + cadena[primera_aparicion+1:ultima_aparicion] + cadena[ultima_aparicion+1:]
            return nueva_cadena
    # Si no se encontró el carácter, retornar la cadena original
    return cadena

# Ejemplo de uso
cadena = ""Hola mundo""
caracter = ""o""
nueva_cadena = eliminar_apariciones(cadena, caracter)
print(nueva_cadena)
```

Este código imprimirá ""Hla mund"" como resultado, ya que se eliminaron la primera y la última aparición del carácter ""o"" en la cadena ""Hola mundo""."
Benchmark Questions Verification V2.ipynb,12,Escribe una función para ordenar una matriz dada en orden ascendente según la suma de sus filas.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result",[],"['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]', 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]', 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']","Aquí tienes una función en Python que ordena una matriz dada en orden ascendente según la suma de sus filas:

```python
def ordenar_matriz(matriz):
    # Calcula la suma de cada fila y crea una lista de tuplas (suma, fila)
    filas_suma = [(sum(fila), fila) for fila in matriz]
    
    # Ordena la lista de tuplas por la suma de cada fila en orden ascendente
    filas_suma.sort(key=lambda x: x[0])
    
    # Crea una nueva matriz ordenada utilizando las filas ordenadas
    matriz_ordenada = [fila for _, fila in filas_suma]
    
    return matriz_ordenada
```

Aquí hay un ejemplo de cómo usar esta función:

```python
matriz = [[1, 2, 3],
          [4, 5, 6],
          [7, 8, 9]]

matriz_ordenada = ordenar_matriz(matriz)
print(matriz_ordenada)
```

La salida será:

```
[[1, 2, 3],
 [4, 5, 6],
 [7, 8, 9]]
```

En este caso, la matriz ya está ordenada en orden ascendente según la suma de sus filas, por lo que la función devuelve la matriz original sin cambios."
Benchmark Questions Verification V2.ipynb,14,Escribe una función de Python para encontrar el volumen de un prisma triangular.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",[],"['assert find_Volume(10,8,6) == 240', 'assert find_Volume(3,2,2) == 6', 'assert find_Volume(1,2,1) == 1']","Aquí tienes una función de Python que calcula el volumen de un prisma triangular:

```python
def calcular_volumen_prisma(base, altura, profundidad):
    area_base = (base * altura) / 2
    volumen = area_base * profundidad
    return volumen
```

Esta función toma tres parámetros: `base`, `altura` y `profundidad`. La base y la altura representan las dimensiones del triángulo base del prisma, mientras que la profundidad representa la altura del prisma. La función calcula el área de la base del prisma triangular multiplicando la base por la altura y dividiendo el resultado por 2. Luego, multiplica el área de la base por la profundidad para obtener el volumen total del prisma. Finalmente, devuelve el volumen calculado."
Benchmark Questions Verification V2.ipynb,16,Escriba una función que devuelva verdadero si la cadena de entrada contiene secuencias de letras minúsculas unidas con un guión bajo y falso en caso contrario.,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False",[],"['assert text_lowercase_underscore(""aab_cbbbc"")==(True)', 'assert text_lowercase_underscore(""aab_Abbbc"")==(False)', 'assert text_lowercase_underscore(""Aaab_abbbc"")==(False)']","Aquí tienes una función que verifica si una cadena contiene secuencias de letras minúsculas unidas con un guión bajo:

```python
def contiene_secuencias(cadena):
    # Dividir la cadena en partes separadas por guiones bajos
    partes = cadena.split('_')
    
    # Verificar si todas las partes son letras minúsculas
    for parte in partes:
        if not parte.islower():
            return False
    
    return True
```

Ejemplo de uso:

```python
cadena1 = ""hola_mundo""
print(contiene_secuencias(cadena1))  # True

cadena2 = ""Hola_Mundo""
print(contiene_secuencias(cadena2))  # False

cadena3 = ""hola_mundo_123""
print(contiene_secuencias(cadena3))  # False
```"
Benchmark Questions Verification V2.ipynb,17,Escribe una función que devuelva el perímetro de un cuadrado dada la longitud de su lado como entrada.,"def square_perimeter(a):
  perimeter=4*a
  return perimeter",[],"['assert square_perimeter(10)==40', 'assert square_perimeter(5)==20', 'assert square_perimeter(4)==16']","def calcular_perimetro_cuadrado(lado):
    perimetro = lado * 4
    return perimetro

lado = float(input(""Ingrese la longitud del lado del cuadrado: ""))
perimetro = calcular_perimetro_cuadrado(lado)
print(""El perímetro del cuadrado es:"", perimetro)"
Benchmark Questions Verification V2.ipynb,18,Escriba una función para eliminar caracteres de la primera cadena que están presentes en la segunda cadena.,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ",[],"['assert remove_dirty_chars(""probasscurve"", ""pros"") == \'bacuve\'', 'assert remove_dirty_chars(""digitalindia"", ""talent"") == \'digiidi\'', 'assert remove_dirty_chars(""exoticmiles"", ""toxic"") == \'emles\'']","Aquí tienes una función en Python que elimina los caracteres de la primera cadena que están presentes en la segunda cadena:

```python
def eliminar_caracteres(cadena1, cadena2):
    # Creamos un conjunto con los caracteres de la segunda cadena
    caracteres_a_eliminar = set(cadena2)
    
    # Creamos una lista para almacenar los caracteres de la primera cadena que no están en la segunda cadena
    nueva_cadena = []
    
    # Recorremos los caracteres de la primera cadena
    for caracter in cadena1:
        # Si el caracter no está en el conjunto de caracteres a eliminar, lo añadimos a la nueva cadena
        if caracter not in caracteres_a_eliminar:
            nueva_cadena.append(caracter)
    
    # Convertimos la lista en una cadena y la devolvemos
    return ''.join(nueva_cadena)
```

Ejemplo de uso:

```python
cadena1 = ""Hola mundo""
cadena2 = ""aeiou""

resultado = eliminar_caracteres(cadena1, cadena2)
print(resultado)  # Salida: ""Hl mnd""
```

En este ejemplo, la función elimina las vocales de la cadena1 que están presentes en la cadena2, por lo que el resultado es ""Hl mnd""."
Benchmark Questions Verification V2.ipynb,19,Escriba una función para encontrar si una matriz determinada de números enteros contiene algún elemento duplicado.,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ",[],"['assert test_duplicate(([1,2,3,4,5]))==False', 'assert test_duplicate(([1,2,3,4, 4]))==True', 'assert test_duplicate([1,1,2,2,3,3,4,4,5])==True']","Puede utilizar un conjunto para realizar un seguimiento de los elementos únicos en la matriz. Si encuentra un elemento que ya está en el conjunto, significa que hay un duplicado y puede devolver True. De lo contrario, si recorre toda la matriz sin encontrar duplicados, puede devolver False.

Aquí está la implementación de la función:

```python
def contiene_duplicados(matriz):
    elementos_unicos = set()
    for fila in matriz:
        for elemento in fila:
            if elemento in elementos_unicos:
                return True
            elementos_unicos.add(elemento)
    return False
```

Puede probar la función con una matriz de ejemplo:

```python
matriz = [
    [1, 2, 3],
    [4, 5, 6],
    [7, 8, 9]
]

print(contiene_duplicados(matriz))  # False

matriz_con_duplicados = [
    [1, 2, 3],
    [4, 5, 6],
    [7, 8, 1]
]

print(contiene_duplicados(matriz_con_duplicados))  # True
```

En el primer caso, la matriz no contiene duplicados, por lo que la función devuelve False. En el segundo caso, la matriz contiene el número 1 dos veces, por lo que la función devuelve True."
Benchmark Questions Verification V2.ipynb,20,Escribe una función para comprobar si el número dado es bola de madera o no.,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False",[],"['assert is_woodall(383) == True', 'assert is_woodall(254) == False', 'assert is_woodall(200) == False']","Para determinar si un número es ""bola de madera"" o no, podemos seguir los siguientes pasos:

1. Convertir el número en una cadena de caracteres.
2. Verificar si la cadena contiene solo el número 0 y/o el número 1.
3. Si la cadena cumple con la condición anterior, entonces el número es ""bola de madera"". En caso contrario, no lo es.

Aquí tienes una función en Python que implementa esta lógica:

```python
def es_bola_de_madera(numero):
    cadena = str(numero)
    return all(digito in '01' for digito in cadena)
```

Ejemplo de uso:

```python
print(es_bola_de_madera(101010))  # True
print(es_bola_de_madera(12345))   # False
print(es_bola_de_madera(0))       # True
print(es_bola_de_madera(11))      # True
print(es_bola_de_madera(1011))    # True
```

La función `es_bola_de_madera` devuelve `True` si el número es ""bola de madera"" y `False` en caso contrario."
Mike's Copy of Benchmark Questions Verification V2.ipynb,56,Escribe una función de Python para comprobar si un número dado es uno menos que el doble de su reverso.,"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ",[],"['assert check(70) == False', 'assert check(23) == False', 'assert check(73) == True']","Aquí tienes una función de Python que verifica si un número dado es uno menos que el doble de su reverso:

```python
def es_reverso_doble_menos_uno(numero):
    reverso = int(str(numero)[::-1])
    doble_reverso = 2 * reverso
    return doble_reverso - 1 == numero
```

Esta función toma un número como argumento y lo convierte en su reverso utilizando la técnica de slicing de cadenas en Python (`str(numero)[::-1]`). Luego, multiplica el reverso por 2 y verifica si el resultado menos 1 es igual al número original. Si es así, devuelve `True`, de lo contrario, devuelve `False`."
Mike's Copy of Benchmark Questions Verification V2.ipynb,57,Escribe una función de Python para encontrar el número más grande que se puede formar con la lista de dígitos dada.,"def find_Max_Num(arr) : 
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ",[],"['assert find_Max_Num([1,2,3]) == 321', 'assert find_Max_Num([4,5,6,1]) == 6541', 'assert find_Max_Num([1,2,3,9]) == 9321']","Aquí tienes una función de Python que encuentra el número más grande que se puede formar con una lista de dígitos dada:

```python
def encontrar_numero_mas_grande(digitos):
    # Ordenar los dígitos en orden descendente
    digitos.sort(reverse=True)
    
    # Convertir los dígitos en una cadena y luego en un número entero
    numero_mas_grande = int(''.join(map(str, digitos)))
    
    return numero_mas_grande
```

Ejemplo de uso:

```python
digitos = [1, 9, 2, 5, 3]
numero_mas_grande = encontrar_numero_mas_grande(digitos)
print(numero_mas_grande)  # Salida: 95321
```

En este ejemplo, la función toma la lista de dígitos `[1, 9, 2, 5, 3]` y encuentra el número más grande que se puede formar con esos dígitos, que es `95321`."
