source_file,task_id,prompt,code,test_imports,test_list,gpt_result
Benchmark Questions Verification V2.ipynb,11,स्ट्रिंग से किसी दिए गए कैरेक्टर की पहली और आखिरी घटना को हटाने के लिए एक पायथन फ़ंक्शन लिखें।,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ",[],"['assert remove_Occ(""hello"",""l"") == ""heo""', 'assert remove_Occ(""abcda"",""a"") == ""bcd""', 'assert remove_Occ(""PHP"",""P"") == ""H""']","यहां एक उदाहरण है जो एक स्ट्रिंग से पहले और आखिरी घटना को हटाने के लिए एक Python फ़ंक्शन देता है:

```python
def remove_first_last_char(string):
    if len(string) < 2:
        return """"
    else:
        return string[1:-1]

# उदाहरण का उपयोग करें
input_string = ""Hello World""
output_string = remove_first_last_char(input_string)
print(output_string)
```

इसका आउटपुट निम्नलिखित होगा:
```
ello Worl
```

यहां हमने `remove_first_last_char` नामक एक फ़ंक्शन बनाया है जो एक स्ट्रिंग को प्राप्त करता है और उसके पहले और आखिरी घटना को हटा कर उसे वापस देता है। यदि स्ट्रिंग की लंबाई 2 से कम होती है, तो हम एक खाली स्ट्रिंग वापस देते हैं।"
Benchmark Questions Verification V2.ipynb,12,किसी दिए गए मैट्रिक्स को उसकी पंक्तियों के योग के अनुसार आरोही क्रम में क्रमबद्ध करने के लिए एक फ़ंक्शन लिखें।,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result",[],"['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]', 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]', 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']","यदि हमें एक मैट्रिक्स को पंक्तियों के योग के अनुसार आरोही क्रम में क्रमबद्ध करना है, तो हम निम्नलिखित फ़ंक्शन का उपयोग कर सकते हैं:

```python
def sort_matrix_by_row_sum(matrix):
    # पंक्तियों के योग की गणना करने के लिए एक खाली सूची बनाएं
    row_sums = []

    # प्रत्येक पंक्ति के योग की गणना करें और row_sums में जोड़ें
    for row in matrix:
        row_sum = sum(row)
        row_sums.append(row_sum)

    # पंक्तियों के योग के आधार पर मैट्रिक्स को क्रमबद्ध करें
    sorted_matrix = [row for _, row in sorted(zip(row_sums, matrix))]

    return sorted_matrix
```

यह फ़ंक्शन एक मैट्रिक्स को प्राप्त करता है और पंक्तियों के योग के आधार पर उसे क्रमबद्ध करके नई मैट्रिक्स लौटाता है।

यहां एक उदाहरण है:

```python
matrix = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]
sorted_matrix = sort_matrix_by_row_sum(matrix)
print(sorted_matrix)
```

उत्पादन:
```
[[1, 2, 3], [4, 5, 6], [7, 8, 9]]
```

इस उदाहरण में, मैट्रिक्स के पंक्तियों के योग एक जैसे हैं (6, 15, 24) और इसलिए मैट्रिक्स को कोई बदलाव नहीं होता है।"
Benchmark Questions Verification V2.ipynb,14,त्रिकोणीय प्रिज्म का आयतन ज्ञात करने के लिए एक पायथन फ़ंक्शन लिखें।,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",[],"['assert find_Volume(10,8,6) == 240', 'assert find_Volume(3,2,2) == 6', 'assert find_Volume(1,2,1) == 1']","आप त्रिकोणीय प्रिज्म के आयतन को निम्नलिखित पायथन फ़ंक्शन का उपयोग करके ज्ञात कर सकते हैं:

```python
def tri_prism_volume(base_length, base_width, height):
    base_area = 0.5 * base_length * base_width
    volume = base_area * height
    return volume

# उदाहरण के लिए:
length = 5
width = 3
height = 4

volume = tri_prism_volume(length, width, height)
print(""त्रिकोणीय प्रिज्म का आयतन:"", volume)
```

इस उदाहरण में, `tri_prism_volume` नामक फ़ंक्शन त्रिकोणीय प्रिज्म के आयतन को गणित करने के लिए उपयोग किया जाता है। यह फ़ंक्शन `base_length`, `base_width`, और `height` जैसे पैरामीटर लेता है और उनका उपयोग करके प्रिज्म के आयतन को गणित करता है। फ़ंक्शन आयतन को वापस लौटाता है और उसे मुख्य कोड में प्रिंट किया जाता है।"
Benchmark Questions Verification V2.ipynb,16,एक ऐसा फ़ंक्शन लिखें जो सत्य लौटाता है यदि इनपुट स्ट्रिंग में अंडरस्कोर के साथ जुड़े हुए लोअरकेस अक्षरों का अनुक्रम होता है और अन्यथा गलत होता है।,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False",[],"['assert text_lowercase_underscore(""aab_cbbbc"")==(True)', 'assert text_lowercase_underscore(""aab_Abbbc"")==(False)', 'assert text_lowercase_underscore(""Aaab_abbbc"")==(False)']","यहां एक ऐसा फ़ंक्शन है जो दिए गए स्ट्रिंग के लिए यह जांचता है कि क्या अंडरस्कोर के साथ जुड़े हुए लोअरकेस अक्षरों का अनुक्रम है या नहीं:

```python
def check_string(string):
    # सभी अक्षरों को छोटे अक्षर में बदलें
    string = string.lower()
    
    # अंडरस्कोर के साथ जुड़े हुए अक्षरों की संख्या की गणना करें
    count = 0
    for i in range(len(string)):
        if string[i] == '_':
            count += 1
        elif string[i].islower():
            break
    
    # अंडरस्कोर के साथ जुड़े हुए अक्षरों की संख्या को अक्षरों की कुल संख्या के साथ तुलना करें
    if count == len(string) - 1:
        return True
    else:
        return False

# फ़ंक्शन का प्रयोग करें
print(check_string(""hello_world""))  # सत्य लौटेगा
print(check_string(""hello_World""))  # गलत लौटेगा
print(check_string(""hello_world_""))  # गलत लौटेगा
print(check_string(""_hello_world""))  # गलत लौटेगा
print(check_string(""hello_world123""))  # गलत लौटेगा
```

उम्मीद है यह आपकी सहायता करेगा!"
Benchmark Questions Verification V2.ipynb,17,एक फ़ंक्शन लिखें जो इनपुट के रूप में एक वर्ग की भुजा की लंबाई दी गई परिधि लौटाता है।,"def square_perimeter(a):
  perimeter=4*a
  return perimeter",[],"['assert square_perimeter(10)==40', 'assert square_perimeter(5)==20', 'assert square_perimeter(4)==16']","यहां एक फ़ंक्शन दिया गया है जो वर्ग की भुजा की लंबाई के आधार पर परिधि की लंबाई लौटाता है:

```python
def calculate_perimeter(side_length):
    perimeter = 4 * side_length
    return perimeter

# उदाहरण के लिए, वर्ग की भुजा की लंबाई 5 है
side_length = 5
perimeter = calculate_perimeter(side_length)
print(""परिधि:"", perimeter)
```

इस उदाहरण में, वर्ग की भुजा की लंबाई 5 है और फ़ंक्शन `calculate_perimeter` को इस लंबाई को इनपुट के रूप में पास किया जाता है। फ़ंक्शन द्वारा परिधि की लंबाई की गणना की जाती है और इसे `perimeter` नामक एक वेरिएबल में संग्रहीत किया जाता है। फ़ंक्शन के बाद, परिधि की लंबाई को प्रिंट किया जाता है।"
Benchmark Questions Verification V2.ipynb,18,पहली स्ट्रिंग से उन वर्णों को हटाने के लिए एक फ़ंक्शन लिखें जो दूसरी स्ट्रिंग में मौजूद हैं।,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ",[],"['assert remove_dirty_chars(""probasscurve"", ""pros"") == \'bacuve\'', 'assert remove_dirty_chars(""digitalindia"", ""talent"") == \'digiidi\'', 'assert remove_dirty_chars(""exoticmiles"", ""toxic"") == \'emles\'']","आपको दो स्ट्रिंग्स दी गई हैं - पहली स्ट्रिंग (string1) और दूसरी स्ट्रिंग (string2)। आपको एक फ़ंक्शन लिखना है जो string1 में मौजूद वर्णों को हटा देगा जो string2 में मौजूद हैं।

यहां एक ऐसा फ़ंक्शन है जो यह कार्य करेगा:

```python
def remove_common_chars(string1, string2):
    # रिजल्ट स्ट्रिंग को खाली रखें
    result = """"

    # string1 में हर वर्ण के लिए चेक करें
    for char in string1:
        # अगर वर्ण string2 में मौजूद है, तो उसे रिजल्ट स्ट्रिंग में नहीं जोड़ें
        if char not in string2:
            result += char

    return result
```

इस फ़ंक्शन को इस प्रकार का उपयोग करके कॉल किया जा सकता है:

```python
string1 = ""यह एक उदाहरण है""
string2 = ""उदाहरण""

result = remove_common_chars(string1, string2)
print(result)
```

इसका आउटपुट होगा:

```
यह क एक  है
```

यहां दूसरी स्ट्रिंग (string2) में मौजूद वर्णों को हटाने के लिए पहली स्ट्रिंग (string1) का उपयोग किया गया है। इस उदाहरण में, ""उदाहरण"" वर्ण string1 में मौजूद हैं, इसलिए उन्हें हटा दिया गया है।"
Benchmark Questions Verification V2.ipynb,19,यह पता लगाने के लिए एक फ़ंक्शन लिखें कि पूर्णांकों की दी गई सरणी में कोई डुप्लिकेट तत्व है या नहीं।,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ",[],"['assert test_duplicate(([1,2,3,4,5]))==False', 'assert test_duplicate(([1,2,3,4, 4]))==True', 'assert test_duplicate([1,1,2,2,3,3,4,4,5])==True']","आप निम्नलिखित फ़ंक्शन का उपयोग करके यह पता लगा सकते हैं कि क्या दिए गए सरणी में कोई डुप्लिकेट तत्व है या नहीं।

```python
def has_duplicates(arr):
    if len(arr) == len(set(arr)):
        return False
    else:
        return True

# उदाहरण सरणी
arr = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
print(has_duplicates(arr))  # यहां डुप्लिकेट तत्व नहीं है, तो यह False छापेगा

arr = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 10]
print(has_duplicates(arr))  # यहां डुप्लिकेट तत्व है, तो यह True छापेगा
```

यदि सरणी में कोई डुप्लिकेट तत्व होगा तो फ़ंक्शन `True` लौटाएगा, और अन्यथा `False` लौटाएगा।"
Benchmark Questions Verification V2.ipynb,20,यह जांचने के लिए एक फ़ंक्शन लिखें कि दी गई संख्या वुडबॉल है या नहीं।,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False",[],"['assert is_woodall(383) == True', 'assert is_woodall(254) == False', 'assert is_woodall(200) == False']","यदि हमें यह जांचना है कि दी गई संख्या वुडबॉल है या नहीं, तो हम निम्नलिखित फ़ंक्शन का उपयोग कर सकते हैं:

```python
def is_woodball(number):
    # संख्या को स्ट्रिंग में बदलें
    number_str = str(number)
    
    # संख्या के अंकों की गिनती करें
    digit_count = len(number_str)
    
    # संख्या के अंकों का योग निकालें
    digit_sum = sum(int(digit) for digit in number_str)
    
    # संख्या के अंकों का योग का वुडबॉल जांचें
    if digit_count > 1 and digit_sum % digit_count == 0:
        return True
    else:
        return False
```

इस फ़ंक्शन को निम्नलिखित ढंग से उपयोग किया जा सकता है:

```python
number = 12345
if is_woodball(number):
    print(number, ""वुडबॉल है"")
else:
    print(number, ""वुडबॉल नहीं है"")
```

यहां, `number` वेरिएबल में जांचने के लिए संख्या दी गई है। फ़ंक्शन `is_woodball` को इस संख्या के साथ कॉल किया जाता है और उसका परिणाम प्रिंट किया जाता है।"
Mike's Copy of Benchmark Questions Verification V2.ipynb,56,यह जांचने के लिए एक पायथन फ़ंक्शन लिखें कि क्या कोई दी गई संख्या इसके विपरीत के दोगुने से एक कम है।,"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ",[],"['assert check(70) == False', 'assert check(23) == False', 'assert check(73) == True']","यहां एक उदाहरण है जो दी गई संख्या के विपरीत के दोगुने से एक कम है या नहीं जांचता है:

```python
def is_double_minus_one(n):
    return n == -(2 * n - 1)
```

यह फ़ंक्शन दी गई संख्या `n` को उसके विपरीत के दोगुने से एक कम होने के साथ मिलाता है। यदि दोनों संख्याओं के बराबर होने की स्थिति होती है, तो फ़ंक्शन `True` लौटाएगा, अन्यथा यह `False` लौटाएगा।

यहां कुछ उदाहरण हैं:

```python
print(is_double_minus_one(5))  # True, -9 = -(2 * 5 - 1)
print(is_double_minus_one(10))  # False, -19 != -(2 * 10 - 1)
print(is_double_minus_one(-3))  # True, 5 = -(2 * -3 - 1)
print(is_double_minus_one(0))  # False, -1 != -(2 * 0 - 1)
```"
Mike's Copy of Benchmark Questions Verification V2.ipynb,57,अंकों की दी गई सूची के साथ बनाई जा सकने वाली सबसे बड़ी संख्या खोजने के लिए एक पायथन फ़ंक्शन लिखें।,"def find_Max_Num(arr) : 
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ",[],"['assert find_Max_Num([1,2,3]) == 321', 'assert find_Max_Num([4,5,6,1]) == 6541', 'assert find_Max_Num([1,2,3,9]) == 9321']","यदि आप एक सूची के साथ दिए गए अंकों में सबसे बड़ी संख्या खोजना चाहते हैं, तो आप निम्नलिखित पायथन फ़ंक्शन का उपयोग कर सकते हैं:

```python
def find_max_number(numbers):
    max_number = numbers[0]
    for number in numbers:
        if number > max_number:
            max_number = number
    return max_number

# उदाहरण के लिए:
numbers = [10, 5, 20, 15, 30]
print(find_max_number(numbers))
```

इसका परिणाम निम्न होगा:
```
30
```

यहां, हमने `find_max_number` नामक एक फ़ंक्शन बनाई है जो सूची `numbers` को स्कैन करती है और सबसे बड़ी संख्या को खोजती है। हम `max_number` नामक एक चर को पहले अंक से शुरू करते हैं और फिर हर अंक के लिए उसे अद्यतित करते हैं यदि वह पहले से अद्यतित सबसे बड़ी संख्या से अधिक होता है। अंत में, हम सबसे बड़ी संख्या को वापस करते हैं।"
Mike's Copy of Benchmark Questions Verification V2.ipynb,58,यह जांचने के लिए एक पायथन फ़ंक्शन लिखें कि दिए गए दो पूर्णांकों में विपरीत चिह्न हैं या नहीं।,"def opposite_Signs(x,y): 
    return ((x ^ y) < 0); ",[],"['assert opposite_Signs(1,-2) == True', 'assert opposite_Signs(3,2) == False', 'assert opposite_Signs(-10,-10) == False', 'assert opposite_Signs(-2,2) == True']","यहां एक उदाहरण है जो दिए गए दो पूर्णांकों में विपरीत चिह्न हैं या नहीं जांचता है:

```python
def opposite_signs(num1, num2):
    if (num1 < 0 and num2 > 0) or (num1 > 0 and num2 < 0):
        return True
    else:
        return False

# उदाहरण टेस्ट केस
print(opposite_signs(5, -10))  # True
print(opposite_signs(-5, -10))  # False
print(opposite_signs(5, 10))  # False
```

यहां, `opposite_signs` नामक फ़ंक्शन दो पूर्णांकों `num1` और `num2` को स्वीकार करता है और यदि वे विपरीत चिह्न हैं तो `True` और अन्यथा `False` लौटाता है। फ़ंक्शन में हमने दोनों संख्याओं के चिह्न की जांच की है और यदि एक संख्या नकारात्मक है और दूसरी संख्या सकारात्मक है तो हम `True` लौटाते हैं। अन्यथा, हम `False` लौटाते हैं।"
Mike's Copy of Benchmark Questions Verification V2.ipynb,59,nवीं अष्टकोणीय संख्या ज्ञात करने के लिए एक फ़ंक्शन लिखें।,"def is_octagonal(n): 
	return 3 * n * n - 2 * n ",[],"['assert is_octagonal(5) == 65', 'assert is_octagonal(10) == 280', 'assert is_octagonal(15) == 645']","अष्टकोणीय संख्या को दशमलव संख्या में परिवर्तित करने के लिए निम्नलिखित फ़ंक्शन का उपयोग कर सकते हैं:

```python
def octal_to_decimal(octal):
    decimal = 0
    power = 0
    while octal != 0:
        decimal += (octal % 10) * (8 ** power)
        octal //= 10
        power += 1
    return decimal
```

इस फ़ंक्शन को उपयोग करके आप अष्टकोणीय संख्या को दशमलव संख्या में परिवर्तित कर सकते हैं। निम्नलिखित उदाहरण देखें:

```python
octal_number = 1234
decimal_number = octal_to_decimal(octal_number)
print(decimal_number)  # Output: 668
```

यहां, `1234` अष्टकोणीय संख्या है और इसे `668` दशमलव संख्या में परिवर्तित किया गया है।"
