Model,Language,Total Error Rate,Logical Error Rate,Syntax Error Rate,All Test Passed Rate,Code Completion Rate,Average Code Length
GPT3.5,en,72.76,21.01,51.75,27.24,100.0,185.35
GPT3.5,es,73.93,20.23,53.7,26.07,100.0,212.65
GPT3.5,hi,80.55,29.19,51.36,19.45,100.0,161.7
GPT3.5,ja,74.32,23.74,50.58,25.68,100.0,164.46
GPT3.5,ru,71.98,20.62,51.36,28.02,99.61,165.15
GPT3.5,zh-cn,72.76,20.23,52.53,27.24,100.0,148.48
GPT3.5-CoT,es,73.54,21.79,51.75,26.46,100.0,195.12
GPT3.5-CoT,hi,79.77,27.63,52.14,20.23,99.61,174.75
GPT3.5-CoT,ja,77.04,26.84,50.2,22.96,100.0,190.2
GPT3.5-CoT,ru,73.54,23.74,49.8,26.46,99.61,183.07
GPT3.5-CoT,zh-cn,73.15,22.95,50.2,26.85,100.0,184.91
GPT3.5-FT-GPT,en,67.7,17.12,50.58,32.3,100.0,191.28
GPT3.5-FT-GPT,es,68.87,16.73,52.14,31.13,99.61,191.73
GPT3.5-FT-GPT,hi,77.43,23.34,54.09,22.57,100.0,180.13
GPT3.5-FT-GPT,ja,71.6,20.63,50.97,28.4,100.0,185.63
GPT3.5-FT-GPT,ru,72.76,20.23,52.53,27.24,100.0,183.89
GPT3.5-FT-GPT,zh-cn,68.48,16.73,51.75,31.52,100.0,197.36
GPT4,en,58.37,10.9,47.47,41.63,99.61,166.86
GPT4,es,62.65,12.85,49.8,37.35,99.61,172.91
GPT4,hi,67.7,17.9,49.8,32.3,100.0,155.5
GPT4,ja,64.2,13.62,50.58,35.8,99.22,156.64
GPT4,ru,65.37,17.12,48.25,34.63,99.61,145.61
GPT4,zh-cn,67.7,16.73,50.97,32.3,99.61,150.98
Mistral-7B-Instruct-v0.3,en,85.21,35.41,49.8,14.79,84.82,125.16
Mistral-7B-Instruct-v0.3,es,87.55,39.69,47.86,12.45,74.71,128.13
Mistral-7B-Instruct-v0.3,hi,91.44,35.41,56.03,8.56,84.05,126.12
Mistral-7B-Instruct-v0.3,ja,88.72,35.8,52.92,11.28,85.6,138.72
Mistral-7B-Instruct-v0.3,ru,85.6,33.85,51.75,14.4,87.55,147.92
Mistral-7B-Instruct-v0.3,zh-cn,88.72,39.3,49.42,11.28,77.82,119.62
Mistral-7B-Instruct-v0.3-CoT,es,86.38,29.18,57.2,13.62,88.33,141.64
Mistral-7B-Instruct-v0.3-CoT,hi,91.05,35.41,55.64,8.95,81.71,130.13
