source_file,task_id,prompt,code,test_imports,test_list,gpt_result
Benchmark Questions Verification V2.ipynb,11,Напишите функцию Python для удаления первого и последнего вхождения данного символа из строки.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ",[],"['assert remove_Occ(""hello"",""l"") == ""heo""', 'assert remove_Occ(""abcda"",""a"") == ""bcd""', 'assert remove_Occ(""PHP"",""P"") == ""H""']","Вы можете использовать методы `find()` и `rfind()` для нахождения первого и последнего вхождения символа в строке. Затем вы можете использовать срезы строк для удаления этих символов. Вот функция, которая делает это:

```python
def remove_char(s, c):
    first = s.find(c)
    last = s.rfind(c)
    if first != -1 and last != -1:
        s = s[:first] + s[first+1:last] + s[last+1:]
    return s
```

Эта функция принимает строку `s` и символ `c` в качестве аргументов. Она находит первое и последнее вхождение символа `c` в строке `s` и удаляет эти символы. Если символ `c` не найден в строке `s`, функция просто возвращает исходную строку."
Benchmark Questions Verification V2.ipynb,12,"Напишите функцию, сортирующую заданную матрицу в порядке возрастания суммы ее строк.","def sort_matrix(M):
    result = sorted(M, key=sum)
    return result",[],"['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]', 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]', 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']","Вы можете использовать функцию `sorted` в Python, которая позволяет сортировать итерируемые объекты. В данном случае, вы можете использовать ее для сортировки строк матрицы по сумме их элементов. Вот пример функции, которая выполняет это:

```python
def sort_matrix_by_row_sum(matrix):
    return sorted(matrix, key=sum)
```

Эта функция принимает матрицу в качестве аргумента и возвращает новую матрицу, отсортированную по сумме элементов каждой строки. Функция `sum` используется как ключ для функции `sorted`, что означает, что строки сортируются по их сумме."
Benchmark Questions Verification V2.ipynb,14,"Напишите функцию Python, чтобы найти объем треугольной призмы.","def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",[],"['assert find_Volume(10,8,6) == 240', 'assert find_Volume(3,2,2) == 6', 'assert find_Volume(1,2,1) == 1']","Треугольная призма - это твердое тело, у которого две основания являются треугольниками, а остальные три грани - прямоугольниками. Объем треугольной призмы можно найти, умножив площадь основания (треугольника) на высоту призмы.

Площадь треугольника можно найти по формуле: 1/2 * основание * высота.

Таким образом, функция Python для нахождения объема треугольной призмы может выглядеть следующим образом:

```python
def volume_of_triangular_prism(base, height_triangle, height_prism):
    # Площадь треугольника
    area_triangle = 0.5 * base * height_triangle
    # Объем призмы
    volume = area_triangle * height_prism
    return volume
```

В этой функции `base` - это основание треугольника, `height_triangle` - это высота треугольника, а `height_prism` - это высота призмы."
Benchmark Questions Verification V2.ipynb,16,"Напишите функцию, которая возвращает true, если входная строка содержит последовательность строчных букв, соединенных подчеркиванием, и false в противном случае.","import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False",[],"['assert text_lowercase_underscore(""aab_cbbbc"")==(True)', 'assert text_lowercase_underscore(""aab_Abbbc"")==(False)', 'assert text_lowercase_underscore(""Aaab_abbbc"")==(False)']","Вы можете использовать регулярные выражения для этой задачи. Вот пример функции, которая делает это:

```python
import re

def is_lowercase_underscore(s):
    return bool(re.match(""^[a-z_]*$"", s))
```

Эта функция возвращает True, если вся входная строка состоит только из строчных букв и символов подчеркивания, и False в противном случае."
Benchmark Questions Verification V2.ipynb,17,"Напишите функцию, которая возвращает периметр квадрата, учитывая длину его стороны в качестве входных данных.","def square_perimeter(a):
  perimeter=4*a
  return perimeter",[],"['assert square_perimeter(10)==40', 'assert square_perimeter(5)==20', 'assert square_perimeter(4)==16']","Вы можете использовать простую формулу для расчета периметра квадрата: P = 4a, где a - это длина стороны квадрата. Вот функция на Python, которая использует эту формулу:

```python
def square_perimeter(side_length):
    return 4 * side_length
```

Вы можете вызвать эту функцию, передав ей длину стороны квадрата, и она вернет вам периметр квадрата. Например:

```python
print(square_perimeter(5))  # Выведет: 20
```"
Benchmark Questions Verification V2.ipynb,18,"Напишите функцию для удаления символов из первой строки, присутствующих во второй строке.","NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ",[],"['assert remove_dirty_chars(""probasscurve"", ""pros"") == \'bacuve\'', 'assert remove_dirty_chars(""digitalindia"", ""talent"") == \'digiidi\'', 'assert remove_dirty_chars(""exoticmiles"", ""toxic"") == \'emles\'']","Вы можете использовать функцию translate() в сочетании с функцией maketrans() для удаления символов из первой строки, которые присутствуют во второй строке. Вот пример функции, которая делает это:

```python
def remove_chars(s1, s2):
    return s1.translate(str.maketrans('', '', s2))
```

В этой функции, str.maketrans('', '', s2) создает таблицу перевода, которая используется функцией translate() для замены символов. В таблице перевода все символы в s2 заменяются на None, что в результате удаляет эти символы из s1."
Benchmark Questions Verification V2.ipynb,19,"Напишите функцию, определяющую, содержит ли данный массив целых чисел какой-либо повторяющийся элемент.","def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ",[],"['assert test_duplicate(([1,2,3,4,5]))==False', 'assert test_duplicate(([1,2,3,4, 4]))==True', 'assert test_duplicate([1,1,2,2,3,3,4,4,5])==True']","Вы можете использовать функцию set в Python для решения этой задачи. Функция set удаляет все дубликаты из списка. Если длина исходного списка больше длины множества, это означает, что в списке есть повторяющиеся элементы.

Вот функция, которая реализует это:

```python
def has_duplicates(lst):
    return len(lst) != len(set(lst))
```

Вы можете вызвать эту функцию, передав список целых чисел, чтобы проверить, есть ли в нем повторяющиеся элементы. Если функция возвращает True, это означает, что в списке есть повторяющиеся элементы. Если функция возвращает False, это означает, что все элементы в списке уникальны."
Benchmark Questions Verification V2.ipynb,20,"Напишите функцию, проверяющую, является ли данное число деревянным мячом или нет.","def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False",[],"['assert is_woodall(383) == True', 'assert is_woodall(254) == False', 'assert is_woodall(200) == False']","""Деревянный мяч"" не является известным термином в математике или программировании. Возможно, вы имели в виду какой-то конкретный алгоритм или условие, которое должно выполняться для числа, чтобы оно считалось ""деревянным мячом"". Пожалуйста, уточните ваш вопрос."
Mike's Copy of Benchmark Questions Verification V2.ipynb,56,"Напишите функцию Python, чтобы проверить, является ли заданное число на единицу меньше его обратного значения в два раза.","def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ",[],"['assert check(70) == False', 'assert check(23) == False', 'assert check(73) == True']","Вы можете написать функцию Python, которая принимает число в качестве аргумента и проверяет, является ли это число на единицу меньше его обратного значения в два раза. Вот пример такой функции:

```python
def check_number(n):
    return n == 1/(2*n) - 1
```

Эта функция возвращает True, если число `n` на единицу меньше его обратного значения в два раза, и False в противном случае."
Mike's Copy of Benchmark Questions Verification V2.ipynb,57,"Напишите функцию Python, чтобы найти наибольшее число, которое можно составить из заданного списка цифр.","def find_Max_Num(arr) : 
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ",[],"['assert find_Max_Num([1,2,3]) == 321', 'assert find_Max_Num([4,5,6,1]) == 6541', 'assert find_Max_Num([1,2,3,9]) == 9321']","Вы можете использовать функцию `sorted()` для сортировки списка в обратном порядке, а затем использовать функцию `join()` для объединения всех элементов списка в одну строку. Вот пример функции, которая делает это:

```python
def find_largest_num(lst):
    lst = sorted(lst, reverse=True)
    return int(''.join(map(str, lst)))
```

Эта функция сначала сортирует список в обратном порядке, затем преобразует каждый элемент списка в строку, объединяет все элементы в одну строку и преобразует эту строку обратно в число."
