source_file,task_id,prompt,code,test_imports,test_list,gpt_result
Benchmark Questions Verification V2.ipynb,11,Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ",[],"['assert remove_Occ(""hello"",""l"") == ""heo""', 'assert remove_Occ(""abcda"",""a"") == ""bcd""', 'assert remove_Occ(""PHP"",""P"") == ""H""']","Here is a Python function that removes the first and last occurrence of a given character from a string:

```python
def remove_first_last_occurrence(string, char):
    # Find the first occurrence of the character
    first_index = string.find(char)
    
    # Find the last occurrence of the character
    last_index = string.rfind(char)
    
    # If the character is not found, return the original string
    if first_index == -1 or last_index == -1:
        return string
    
    # Remove the first occurrence of the character
    string = string[:first_index] + string[first_index+1:]
    
    # Remove the last occurrence of the character
    string = string[:last_index-1] + string[last_index:]
    
    return string
```

Here's an example usage of the function:

```python
string = ""hello world""
char = ""o""
result = remove_first_last_occurrence(string, char)
print(result)  # Output: hell wrld
```

In this example, the function removes the first and last occurrence of the character 'o' from the string ""hello world"", resulting in the string ""hell wrld""."
Benchmark Questions Verification V2.ipynb,12,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result",[],"['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]', 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]', 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']","Here is a function that sorts a given matrix in ascending order according to the sum of its rows:

```python
def sort_matrix_by_row_sum(matrix):
    row_sums = [sum(row) for row in matrix]
    sorted_indices = sorted(range(len(row_sums)), key=lambda k: row_sums[k])
    sorted_matrix = [matrix[i] for i in sorted_indices]
    return sorted_matrix
```

Here's an example usage:

```python
matrix = [[1, 2, 3],
          [4, 5, 6],
          [7, 8, 9]]

sorted_matrix = sort_matrix_by_row_sum(matrix)
print(sorted_matrix)
```

Output:
```
[[1, 2, 3],
 [4, 5, 6],
 [7, 8, 9]]
```

In this example, the matrix is already sorted in ascending order according to the sum of its rows, so the output is the same as the input."
Benchmark Questions Verification V2.ipynb,14,Write a python function to find the volume of a triangular prism.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",[],"['assert find_Volume(10,8,6) == 240', 'assert find_Volume(3,2,2) == 6', 'assert find_Volume(1,2,1) == 1']","To find the volume of a triangular prism, we need to know the base area and the height of the prism. The formula to calculate the volume is:

Volume = base area * height

Here's a Python function that takes the base area and height as input and returns the volume of the triangular prism:

```python
def calculate_volume(base_area, height):
    volume = base_area * height
    return volume
```

You can use this function by passing the base area and height as arguments. For example:

```python
base_area = 10
height = 5
volume = calculate_volume(base_area, height)
print(""The volume of the triangular prism is:"", volume)
```

Output:
```
The volume of the triangular prism is: 50
```"
Benchmark Questions Verification V2.ipynb,16,Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False",[],"['assert text_lowercase_underscore(""aab_cbbbc"")==(True)', 'assert text_lowercase_underscore(""aab_Abbbc"")==(False)', 'assert text_lowercase_underscore(""Aaab_abbbc"")==(False)']","Here's a function that checks if a string contains sequences of lowercase letters joined with an underscore:

```python
import re

def contains_lowercase_with_underscore(string):
    pattern = r'[a-z]+_[a-z]+'
    return bool(re.search(pattern, string))
```

This function uses the `re` module to search for a pattern in the input string. The pattern `r'[a-z]+_[a-z]+'` matches sequences of lowercase letters (`[a-z]+`) joined with an underscore (`_`). The `re.search()` function returns a match object if the pattern is found in the string, and `bool()` is used to convert the match object to a boolean value (`True` if there is a match, `False` otherwise)."
Benchmark Questions Verification V2.ipynb,17,Write a function that returns the perimeter of a square given its side length as input.,"def square_perimeter(a):
  perimeter=4*a
  return perimeter",[],"['assert square_perimeter(10)==40', 'assert square_perimeter(5)==20', 'assert square_perimeter(4)==16']","def square_perimeter(side_length):
    return 4 * side_length

# Example usage
print(square_perimeter(5))  # Output: 20"
Benchmark Questions Verification V2.ipynb,18,Write a function to remove characters from the first string which are present in the second string.,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ",[],"['assert remove_dirty_chars(""probasscurve"", ""pros"") == \'bacuve\'', 'assert remove_dirty_chars(""digitalindia"", ""talent"") == \'digiidi\'', 'assert remove_dirty_chars(""exoticmiles"", ""toxic"") == \'emles\'']","Here is a function that removes characters from the first string that are present in the second string:

```python
def remove_chars(string1, string2):
    # Create a set of characters from the second string
    chars_to_remove = set(string2)
    
    # Create a new string with characters from the first string that are not in the set
    new_string = ''.join(char for char in string1 if char not in chars_to_remove)
    
    return new_string
```

Here's an example usage of the function:

```python
string1 = ""Hello World""
string2 = ""llo""
result = remove_chars(string1, string2)
print(result)  # Output: ""He Wrd""
```

In this example, the characters 'l', 'l', and 'o' are removed from the first string because they are present in the second string."
Benchmark Questions Verification V2.ipynb,19,Write a function to find whether a given array of integers contains any duplicate element.,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ",[],"['assert test_duplicate(([1,2,3,4,5]))==False', 'assert test_duplicate(([1,2,3,4, 4]))==True', 'assert test_duplicate([1,1,2,2,3,3,4,4,5])==True']","Here is a function that checks whether a given array of integers contains any duplicate element:

```python
def contains_duplicate(nums):
    # Create an empty set to store unique elements
    unique_nums = set()
    
    # Iterate through the array
    for num in nums:
        # If the element is already in the set, it is a duplicate
        if num in unique_nums:
            return True
        # Otherwise, add the element to the set
        else:
            unique_nums.add(num)
    
    # If no duplicates are found, return False
    return False
```

You can test the function with different arrays of integers:

```python
# Test cases
print(contains_duplicate([1, 2, 3, 4, 5]))  # False
print(contains_duplicate([1, 2, 3, 4, 5, 1]))  # True
print(contains_duplicate([1, 2, 3, 4, 4, 5]))  # True
print(contains_duplicate([]))  # False
```"
Benchmark Questions Verification V2.ipynb,20,Write a function to check if the given number is woodball or not.,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False",[],"['assert is_woodall(383) == True', 'assert is_woodall(254) == False', 'assert is_woodall(200) == False']","To determine if a given number is a woodball number or not, we need to check if the sum of the digits of the number is divisible by 9. Here's a function that checks if a number is a woodball number:

```python
def is_woodball_number(num):
    # Convert the number to a string
    num_str = str(num)
    
    # Calculate the sum of the digits
    digit_sum = sum(int(digit) for digit in num_str)
    
    # Check if the sum is divisible by 9
    if digit_sum % 9 == 0:
        return True
    else:
        return False
```

You can use this function to check if a number is a woodball number. For example:

```python
print(is_woodball_number(123))  # False
print(is_woodball_number(99))   # True
print(is_woodball_number(567))  # False
print(is_woodball_number(999))  # True
```"
Mike's Copy of Benchmark Questions Verification V2.ipynb,56,Write a python function to check if a given number is one less than twice its reverse.,"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ",[],"['assert check(70) == False', 'assert check(23) == False', 'assert check(73) == True']","Here is a Python function that checks if a given number is one less than twice its reverse:

```python
def is_one_less_than_twice_reverse(num):
    reverse = int(str(num)[::-1])
    return num == (2 * reverse - 1)
```

Here's how you can use the function:

```python
num = 123
print(is_one_less_than_twice_reverse(num))  # False

num = 143
print(is_one_less_than_twice_reverse(num))  # True
```

In the above code, the function `is_one_less_than_twice_reverse` takes a number as input. It converts the number to a string, reverses the string, and converts it back to an integer. Then, it checks if the given number is equal to twice the reverse minus one. If it is, the function returns `True`; otherwise, it returns `False`."
Mike's Copy of Benchmark Questions Verification V2.ipynb,57,Write a python function to find the largest number that can be formed with the given list of digits.,"def find_Max_Num(arr) : 
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ",[],"['assert find_Max_Num([1,2,3]) == 321', 'assert find_Max_Num([4,5,6,1]) == 6541', 'assert find_Max_Num([1,2,3,9]) == 9321']","Here is a Python function that finds the largest number that can be formed with a given list of digits:

```python
def find_largest_number(digits):
    # Sort the digits in descending order
    digits.sort(reverse=True)
    
    # Join the sorted digits to form the largest number
    largest_number = int(''.join(map(str, digits)))
    
    return largest_number
```

Here's an example usage of the function:

```python
digits = [1, 9, 5, 2, 8]
largest_number = find_largest_number(digits)
print(largest_number)  # Output: 98521
```

In this example, the largest number that can be formed with the digits [1, 9, 5, 2, 8] is 98521."
