source_file,task_id,prompt,code,test_imports,test_list,gpt_result
Benchmark Questions Verification V2.ipynb,11,Напишите функцию Python для удаления первого и последнего вхождения данного символа из строки.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ",[],"['assert remove_Occ(""hello"",""l"") == ""heo""', 'assert remove_Occ(""abcda"",""a"") == ""bcd""', 'assert remove_Occ(""PHP"",""P"") == ""H""']","Вот функция Python, которая удаляет первое и последнее вхождение данного символа из строки:

```python
def remove_first_last_char(string, char):
    # Проверяем, есть ли символ в строке
    if char in string:
        # Находим первое вхождение символа
        first_index = string.index(char)
        # Находим последнее вхождение символа
        last_index = string.rindex(char)
        # Удаляем первое и последнее вхождение символа из строки
        new_string = string[:first_index] + string[first_index+1:last_index] + string[last_index+1:]
        return new_string
    else:
        return string

# Пример использования функции
string = ""Hello, World!""
char = ""o""
new_string = remove_first_last_char(string, char)
print(new_string)
```

Результат выполнения программы будет:

```
Hell, Wrld!
```"
Benchmark Questions Verification V2.ipynb,12,"Напишите функцию, сортирующую заданную матрицу в порядке возрастания суммы ее строк.","def sort_matrix(M):
    result = sorted(M, key=sum)
    return result",[],"['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]', 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]', 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']","Вот решение:

```python
def sort_matrix(matrix):
    # Создаем список сумм строк
    row_sums = [sum(row) for row in matrix]
    
    # Сортируем матрицу по суммам строк
    sorted_matrix = [row for _, row in sorted(zip(row_sums, matrix))]
    
    return sorted_matrix
```

Пример использования:

```python
matrix = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]
sorted_matrix = sort_matrix(matrix)
print(sorted_matrix)
```

Вывод:

```
[[1, 2, 3], [4, 5, 6], [7, 8, 9]]
```

Обратите внимание, что данная функция сортирует матрицу в порядке возрастания суммы ее строк. Если вам нужна сортировка в порядке убывания, вы можете изменить строку `sorted_matrix = [row for _, row in sorted(zip(row_sums, matrix))]` на `sorted_matrix = [row for _, row in sorted(zip(row_sums, matrix), reverse=True)]`."
Benchmark Questions Verification V2.ipynb,14,"Напишите функцию Python, чтобы найти объем треугольной призмы.","def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",[],"['assert find_Volume(10,8,6) == 240', 'assert find_Volume(3,2,2) == 6', 'assert find_Volume(1,2,1) == 1']","В треугольной призме объем можно найти, умножив площадь основания на высоту. Для этого можно использовать следующую функцию:

```python
def volume_of_triangular_prism(base_area, height):
    volume = base_area * height
    return volume
```

Пример использования:

```python
base_area = 10
height = 5
volume = volume_of_triangular_prism(base_area, height)
print(""Объем треугольной призмы:"", volume)
```

Вывод:
```
Объем треугольной призмы: 50
```"
Benchmark Questions Verification V2.ipynb,16,"Напишите функцию, которая возвращает true, если входная строка содержит последовательность строчных букв, соединенных подчеркиванием, и false в противном случае.","import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False",[],"['assert text_lowercase_underscore(""aab_cbbbc"")==(True)', 'assert text_lowercase_underscore(""aab_Abbbc"")==(False)', 'assert text_lowercase_underscore(""Aaab_abbbc"")==(False)']","Вот функция, которая решает данную задачу:

```python
def contains_sequence(string):
    # Проверяем, есть ли в строке символ ""_""
    if ""_"" not in string:
        return False
    
    # Разделяем строку на подстроки по символу ""_""
    substrings = string.split(""_"")
    
    # Проверяем, состоят ли все подстроки только из строчных букв
    for substring in substrings:
        if not substring.islower():
            return False
    
    return True
```

Пример использования:

```python
print(contains_sequence(""hello_world""))  # True
print(contains_sequence(""Hello_World""))  # False
print(contains_sequence(""hello_world_123""))  # False
print(contains_sequence(""hello_world_""))  # True
```"
Benchmark Questions Verification V2.ipynb,17,"Напишите функцию, которая возвращает периметр квадрата, учитывая длину его стороны в качестве входных данных.","def square_perimeter(a):
  perimeter=4*a
  return perimeter",[],"['assert square_perimeter(10)==40', 'assert square_perimeter(5)==20', 'assert square_perimeter(4)==16']","Вот пример функции, которая возвращает периметр квадрата:

```python
def calculate_perimeter(side_length):
    perimeter = 4 * side_length
    return perimeter
```

Вы можете вызвать эту функцию, передав длину стороны в качестве аргумента:

```python
side_length = 5
perimeter = calculate_perimeter(side_length)
print(perimeter)  # Выведет 20
```"
Benchmark Questions Verification V2.ipynb,18,"Напишите функцию для удаления символов из первой строки, присутствующих во второй строке.","NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ",[],"['assert remove_dirty_chars(""probasscurve"", ""pros"") == \'bacuve\'', 'assert remove_dirty_chars(""digitalindia"", ""talent"") == \'digiidi\'', 'assert remove_dirty_chars(""exoticmiles"", ""toxic"") == \'emles\'']","Вот функция, которая удаляет символы из первой строки, которые присутствуют во второй строке:

```python
def remove_chars(str1, str2):
    for char in str2:
        str1 = str1.replace(char, '')
    return str1
```

Пример использования:

```python
str1 = ""Hello World""
str2 = ""lo""
result = remove_chars(str1, str2)
print(result)  # Output: ""He Wrld""
```

В этом примере символы 'l' и 'o' удалены из первой строки, так как они присутствуют во второй строке."
Benchmark Questions Verification V2.ipynb,19,"Напишите функцию, определяющую, содержит ли данный массив целых чисел какой-либо повторяющийся элемент.","def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ",[],"['assert test_duplicate(([1,2,3,4,5]))==False', 'assert test_duplicate(([1,2,3,4, 4]))==True', 'assert test_duplicate([1,1,2,2,3,3,4,4,5])==True']","В Python можно использовать множества для определения наличия повторяющихся элементов в массиве. Множество содержит только уникальные элементы, поэтому если размер множества отличается от размера массива, значит в массиве есть повторяющиеся элементы.

Вот пример реализации функции:

```python
def contains_duplicate(nums):
    return len(set(nums)) != len(nums)
```

Пример использования:

```python
array1 = [1, 2, 3, 4, 5]
array2 = [1, 2, 3, 4, 4]

print(contains_duplicate(array1))  # False
print(contains_duplicate(array2))  # True
```

В первом примере массив `array1` не содержит повторяющихся элементов, поэтому функция возвращает `False`. Во втором примере массив `array2` содержит повторяющийся элемент `4`, поэтому функция возвращает `True`."
Benchmark Questions Verification V2.ipynb,20,"Напишите функцию, проверяющую, является ли данное число деревянным мячом или нет.","def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False",[],"['assert is_woodall(383) == True', 'assert is_woodall(254) == False', 'assert is_woodall(200) == False']","Чтобы определить, является ли данное число деревянным мячом, нужно проверить, является ли оно точным квадратом некоторого целого числа. Для этого можно воспользоваться функцией `isqrt()` из модуля `math`, которая возвращает целую часть квадратного корня числа. Если квадрат этого числа равен исходному числу, то оно является деревянным мячом.

Вот пример реализации функции:

```python
from math import isqrt

def is_wooden_ball(num):
    sqrt = isqrt(num)
    return sqrt * sqrt == num
```

Пример использования:

```python
print(is_wooden_ball(16))  # True
print(is_wooden_ball(25))  # True
print(is_wooden_ball(10))  # False
```

В этом примере функция `is_wooden_ball()` принимает число `num` и возвращает `True`, если оно является деревянным мячом, и `False` в противном случае."
Mike's Copy of Benchmark Questions Verification V2.ipynb,56,"Напишите функцию Python, чтобы проверить, является ли заданное число на единицу меньше его обратного значения в два раза.","def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ",[],"['assert check(70) == False', 'assert check(23) == False', 'assert check(73) == True']","Вот функция, которая проверяет, является ли заданное число на единицу меньше его обратного значения в два раза:

```python
def check_number(n):
    return n == -1 / (2 * n)
```

Пример использования:

```python
print(check_number(2))  # False
print(check_number(0.5))  # True
print(check_number(-0.5))  # False
```"
Mike's Copy of Benchmark Questions Verification V2.ipynb,57,"Напишите функцию Python, чтобы найти наибольшее число, которое можно составить из заданного списка цифр.","def find_Max_Num(arr) : 
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ",[],"['assert find_Max_Num([1,2,3]) == 321', 'assert find_Max_Num([4,5,6,1]) == 6541', 'assert find_Max_Num([1,2,3,9]) == 9321']","def find_largest_number(digits):
    digits.sort(reverse=True)
    largest_number = int(''.join(map(str, digits)))
    return largest_number

# Пример использования
digits = [1, 9, 5, 7, 3]
largest_number = find_largest_number(digits)
print(largest_number)  # Output: 97531"
