source_file,task_id,prompt,code,test_imports,test_list,gpt_result
Benchmark Questions Verification V2.ipynb,11,Escriba una función de Python para eliminar la primera y la última aparición de un carácter determinado de la cadena.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ",[],"['assert remove_Occ(""hello"",""l"") == ""heo""', 'assert remove_Occ(""abcda"",""a"") == ""bcd""', 'assert remove_Occ(""PHP"",""P"") == ""H""']","Aquí está una función de Python que hace exactamente eso:

```python
def remove_char(s, c):
    first = s.find(c)
    last = s.rfind(c)
    if first != -1 and last != -1:
        s = s[:first] + s[first+1:last] + s[last+1:]
    return s
```

Esta función toma una cadena `s` y un carácter `c` como entrada. Utiliza los métodos `find` y `rfind` de la cadena para encontrar la primera y la última aparición del carácter, respectivamente. Si el carácter se encuentra en la cadena (es decir, `first` y `last` no son -1), entonces se construye una nueva cadena sin las apariciones de `c` en las posiciones `first` y `last`. Finalmente, la cadena resultante se devuelve."
Benchmark Questions Verification V2.ipynb,12,Escribe una función para ordenar una matriz dada en orden ascendente según la suma de sus filas.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result",[],"['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]', 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]', 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']","Puedes hacer esto utilizando la función `sorted` de Python con un argumento de clave personalizado. Aquí está cómo puedes hacerlo:

```python
def sort_matrix_by_row_sum(matrix):
    return sorted(matrix, key=sum)
```

Esta función toma una matriz (una lista de listas) como entrada y devuelve una nueva matriz donde las filas están ordenadas en orden ascendente según la suma de sus elementos. La función `sum` se utiliza como la clave para la función `sorted`, lo que significa que `sorted` ordenará las filas de la matriz según el valor devuelto por `sum` para cada fila."
Benchmark Questions Verification V2.ipynb,14,Escribe una función de Python para encontrar el volumen de un prisma triangular.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",[],"['assert find_Volume(10,8,6) == 240', 'assert find_Volume(3,2,2) == 6', 'assert find_Volume(1,2,1) == 1']","Un prisma triangular es un sólido tridimensional cuyo volumen se puede calcular multiplicando el área de la base (que es un triángulo) por la altura del prisma. La fórmula para el área de un triángulo es 1/2 * base * altura.

Aquí está la función de Python:

```python
def volume_of_triangular_prism(base, height, prism_height):
    # Calcular el área de la base (que es un triángulo)
    triangle_area = 0.5 * base * height

    # Calcular el volumen del prisma
    volume = triangle_area * prism_height

    return volume
```

Puedes usar esta función para calcular el volumen de un prisma triangular proporcionando la longitud de la base del triángulo, la altura del triángulo y la altura del prisma. Por ejemplo:

```python
print(volume_of_triangular_prism(3, 4, 5))  # Output: 30.0
```"
Benchmark Questions Verification V2.ipynb,16,Escriba una función que devuelva verdadero si la cadena de entrada contiene secuencias de letras minúsculas unidas con un guión bajo y falso en caso contrario.,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False",[],"['assert text_lowercase_underscore(""aab_cbbbc"")==(True)', 'assert text_lowercase_underscore(""aab_Abbbc"")==(False)', 'assert text_lowercase_underscore(""Aaab_abbbc"")==(False)']","Aquí está una función en Python que utiliza una expresión regular para verificar si la cadena de entrada cumple con los criterios especificados:

```python
import re

def check_string(s):
    pattern = '^[a-z]+(_[a-z]+)*$'
    if re.search(pattern, s):
        return True
    else:
        return False
```

Esta función devuelve `True` si la cadena de entrada contiene solo letras minúsculas y guiones bajos, y cada guión bajo está seguido y precedido por al menos una letra minúscula. Devuelve `False` en caso contrario."
Benchmark Questions Verification V2.ipynb,17,Escribe una función que devuelva el perímetro de un cuadrado dada la longitud de su lado como entrada.,"def square_perimeter(a):
  perimeter=4*a
  return perimeter",[],"['assert square_perimeter(10)==40', 'assert square_perimeter(5)==20', 'assert square_perimeter(4)==16']","Aquí está la función en Python que calcula el perímetro de un cuadrado dada la longitud de su lado:

```python
def perimeter_of_square(side_length):
    return 4 * side_length
```

Puedes usar esta función de la siguiente manera:

```python
print(perimeter_of_square(5))  # Output: 20
```"
Benchmark Questions Verification V2.ipynb,18,Escriba una función para eliminar caracteres de la primera cadena que están presentes en la segunda cadena.,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ",[],"['assert remove_dirty_chars(""probasscurve"", ""pros"") == \'bacuve\'', 'assert remove_dirty_chars(""digitalindia"", ""talent"") == \'digiidi\'', 'assert remove_dirty_chars(""exoticmiles"", ""toxic"") == \'emles\'']","Aquí está una función en Python que hace exactamente eso:

```python
def remove_chars(str1, str2):
    return ''.join(c for c in str1 if c not in str2)
```

Esta función utiliza una comprensión de lista para iterar sobre cada carácter en `str1` y solo incluirlo en la cadena resultante si no está presente en `str2`."
Benchmark Questions Verification V2.ipynb,19,Escriba una función para encontrar si una matriz determinada de números enteros contiene algún elemento duplicado.,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ",[],"['assert test_duplicate(([1,2,3,4,5]))==False', 'assert test_duplicate(([1,2,3,4, 4]))==True', 'assert test_duplicate([1,1,2,2,3,3,4,4,5])==True']","Aquí está una función simple en Python que puede hacer esto. Esta función utiliza un conjunto para rastrear los elementos que ya hemos visto. Si alguna vez intentamos agregar un elemento al conjunto que ya está en el conjunto, sabemos que el elemento es un duplicado.

```python
def has_duplicates(arr):
    seen = set()
    for num in arr:
        if num in seen:
            return True
        seen.add(num)
    return False
```

Esta función devuelve `True` si la matriz contiene duplicados y `False` en caso contrario."
Benchmark Questions Verification V2.ipynb,20,Escribe una función para comprobar si el número dado es bola de madera o no.,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False",[],"['assert is_woodall(383) == True', 'assert is_woodall(254) == False', 'assert is_woodall(200) == False']","La pregunta parece estar basada en un concepto o término que no es estándar en matemáticas o programación en Python. ""Bola de madera"" no es un término reconocido en estos campos. 

Si ""bola de madera"" es un término específico de un juego, una disciplina específica o un concepto de un curso o libro específico, necesitaríamos más información para proporcionar una respuesta adecuada.

Si ""bola de madera"" se refiere a un número específico o a una propiedad específica de un número, por favor proporciona más detalles."
Mike's Copy of Benchmark Questions Verification V2.ipynb,56,Escribe una función de Python para comprobar si un número dado es uno menos que el doble de su reverso.,"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ",[],"['assert check(70) == False', 'assert check(23) == False', 'assert check(73) == True']","Aquí está la función de Python que comprueba si un número dado es uno menos que el doble de su reverso:

```python
def check_number(n):
    # Reversing the number
    reverse_n = int(str(n)[::-1])
    
    # Checking the condition
    if n == 2*reverse_n - 1:
        return True
    else:
        return False
```

Esta función toma un número como entrada, lo invierte y luego comprueba si el número original es uno menos que el doble de su reverso. Si es así, devuelve True, de lo contrario, devuelve False."
Mike's Copy of Benchmark Questions Verification V2.ipynb,57,Escribe una función de Python para encontrar el número más grande que se puede formar con la lista de dígitos dada.,"def find_Max_Num(arr) : 
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ",[],"['assert find_Max_Num([1,2,3]) == 321', 'assert find_Max_Num([4,5,6,1]) == 6541', 'assert find_Max_Num([1,2,3,9]) == 9321']","Aquí está la función de Python que puede usar para encontrar el número más grande que se puede formar con la lista de dígitos dada:

```python
def largest_number(lst):
    return int(''.join(sorted(map(str, lst), reverse=True)))

# Prueba de la función
print(largest_number([3, 1, 4, 9, 5, 6]))
```

En esta función, primero convertimos todos los dígitos en la lista a cadenas, luego los ordenamos en orden descendente, los unimos en una sola cadena y finalmente convertimos esa cadena en un número entero."
