source_file,task_id,prompt,code,test_imports,test_list,gpt_result
Benchmark Questions Verification V2.ipynb,11,स्ट्रिंग से किसी दिए गए कैरेक्टर की पहली और आखिरी घटना को हटाने के लिए एक पायथन फ़ंक्शन लिखें।,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ",[],"['assert remove_Occ(""hello"",""l"") == ""heo""', 'assert remove_Occ(""abcda"",""a"") == ""bcd""', 'assert remove_Occ(""PHP"",""P"") == ""H""']","यहां एक फ़ंक्शन है जो दिए गए स्ट्रिंग से दिए गए कैरेक्टर की पहली और आखिरी घटना को हटाता है:

```python
def remove_first_and_last_occurrence(string, char):
    first_occurrence = string.find(char)
    last_occurrence = string.rfind(char)
    if first_occurrence != -1 and last_occurrence != -1:
        string = string[:first_occurrence] + string[first_occurrence+1:]
        last_occurrence = string.rfind(char)
        string = string[:last_occurrence] + string[last_occurrence+1:]
    return string
```

इस फ़ंक्शन का उपयोग निम्नलिखित तरीके से किया जा सकता है:

```python
print(remove_first_and_last_occurrence(""hello world"", ""l""))  # ""helo word""
```

यह फ़ंक्शन `find` और `rfind` फ़ंक्शन का उपयोग करके कैरेक्टर की पहली और आखिरी घटना का इंडेक्स प्राप्त करता है, और फिर स्लाइसिंग का उपयोग करके उन घटनाओं को हटा देता है. यदि कैरेक्टर स्ट्रिंग में नहीं होता है, तो यह फ़ंक्शन स्ट्रिंग को बिना किसी परिवर्तन के वापस करता है."
Benchmark Questions Verification V2.ipynb,12,किसी दिए गए मैट्रिक्स को उसकी पंक्तियों के योग के अनुसार आरोही क्रम में क्रमबद्ध करने के लिए एक फ़ंक्शन लिखें।,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result",[],"['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]', 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]', 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']","आप निम्नलिखित फ़ंक्शन का उपयोग कर सकते हैं:

```python
import numpy as np

def sort_matrix_by_row_sum(matrix):
    # पंक्तियों का योग निकालें
    row_sums = np.sum(matrix, axis=1)
    
    # पंक्तियों के योग के आधार पर इंडेक्स का आरोही क्रम प्राप्त करें
    sorted_indices = np.argsort(row_sums)
    
    # इंडेक्स के आधार पर मैट्रिक्स को क्रमबद्ध करें
    sorted_matrix = matrix[sorted_indices]
    
    return sorted_matrix
```

इस फ़ंक्शन का उपयोग निम्नलिखित प्रकार से किया जा सकता है:

```python
matrix = np.array([[1, 2, 3], [4, 5, 6], [7, 8, 9]])
print(sort_matrix_by_row_sum(matrix))
```

यह मैट्रिक्स को पंक्तियों के योग के आधार पर आरोही क्रम में क्रमबद्ध करेगा।"
Benchmark Questions Verification V2.ipynb,14,त्रिकोणीय प्रिज्म का आयतन ज्ञात करने के लिए एक पायथन फ़ंक्शन लिखें।,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",[],"['assert find_Volume(10,8,6) == 240', 'assert find_Volume(3,2,2) == 6', 'assert find_Volume(1,2,1) == 1']","आप त्रिकोणीय प्रिज्म का आयतन निम्नलिखित पायथन फ़ंक्शन का उपयोग करके ज्ञात कर सकते हैं:

```python
def volume_of_triangular_prism(base_area, height):
    return base_area * height
```

इस फ़ंक्शन का उपयोग करने के लिए, आपको त्रिकोणीय प्रिज्म के आधार क्षेत्रफल और ऊंचाई की जानकारी होनी चाहिए। फ़ंक्शन को निम्नलिखित तरीके से कॉल करें:

```python
print(volume_of_triangular_prism(10, 5))
```

इस उदाहरण में, आधार क्षेत्रफल 10 और ऊंचाई 5 है, और फ़ंक्शन का परिणाम 50 होगा।"
Benchmark Questions Verification V2.ipynb,16,एक ऐसा फ़ंक्शन लिखें जो सत्य लौटाता है यदि इनपुट स्ट्रिंग में अंडरस्कोर के साथ जुड़े हुए लोअरकेस अक्षरों का अनुक्रम होता है और अन्यथा गलत होता है।,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return True
        else:
                return False",[],"['assert text_lowercase_underscore(""aab_cbbbc"")==(True)', 'assert text_lowercase_underscore(""aab_Abbbc"")==(False)', 'assert text_lowercase_underscore(""Aaab_abbbc"")==(False)']","आप निम्नलिखित फ़ंक्शन का उपयोग कर सकते हैं:

```python
def is_underscore_separated_lowercase(s):
    words = s.split('_')
    for word in words:
        if not word.islower():
            return False
    return True
```

यह फ़ंक्शन इनपुट स्ट्रिंग को अंडरस्कोर ('_') के आधार पर विभाजित करता है और फिर प्रत्येक शब्द के लिए जांचता है कि क्या यह लोअरकेस में है। यदि कोई भी शब्द लोअरकेस में नहीं है, तो यह फ़ंक्शन False लौटाता है। यदि सभी शब्द लोअरकेस में हैं, तो यह True लौटाता है।"
Benchmark Questions Verification V2.ipynb,17,एक फ़ंक्शन लिखें जो इनपुट के रूप में एक वर्ग की भुजा की लंबाई दी गई परिधि लौटाता है।,"def square_perimeter(a):
  perimeter=4*a
  return perimeter",[],"['assert square_perimeter(10)==40', 'assert square_perimeter(5)==20', 'assert square_perimeter(4)==16']","वर्ग की परिधि (परिमाप) की गणना करने के लिए, हमें भुजा की लंबाई को 4 से गुणा करना होता है। यहां एक फ़ंक्शन है जो यह करता है:

```python
def calculate_perimeter(length):
    return 4 * length
```

इस फ़ंक्शन का उपयोग करने के लिए, आप बस वर्ग की भुजा की लंबाई के साथ इसे कॉल करें, जैसे कि `calculate_perimeter(5)`। यह 20 लौटाएगा, क्योंकि एक वर्ग जिसकी भुजा की लंबाई 5 है, उसकी परिधि 20 होगी।"
Benchmark Questions Verification V2.ipynb,18,पहली स्ट्रिंग से उन वर्णों को हटाने के लिए एक फ़ंक्शन लिखें जो दूसरी स्ट्रिंग में मौजूद हैं।,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ",[],"['assert remove_dirty_chars(""probasscurve"", ""pros"") == \'bacuve\'', 'assert remove_dirty_chars(""digitalindia"", ""talent"") == \'digiidi\'', 'assert remove_dirty_chars(""exoticmiles"", ""toxic"") == \'emles\'']","आप निम्नलिखित फ़ंक्शन का उपयोग कर सकते हैं:

```python
def remove_chars(s1, s2):
    return """".join(c for c in s1 if c not in s2)
```

इस फ़ंक्शन का उपयोग करने के लिए, आप दो स्ट्रिंग्स पास करेंगे और यह फ़ंक्शन पहली स्ट्रिंग से उन सभी वर्णों को हटा देगा जो दूसरी स्ट्रिंग में मौजूद हैं।

उदाहरण के लिए:

```python
print(remove_chars(""hello world"", ""world""))  # Output: ""he ""
```"
Benchmark Questions Verification V2.ipynb,19,यह पता लगाने के लिए एक फ़ंक्शन लिखें कि पूर्णांकों की दी गई सरणी में कोई डुप्लिकेट तत्व है या नहीं।,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ",[],"['assert test_duplicate(([1,2,3,4,5]))==False', 'assert test_duplicate(([1,2,3,4, 4]))==True', 'assert test_duplicate([1,1,2,2,3,3,4,4,5])==True']","आप निम्नलिखित फ़ंक्शन का उपयोग कर सकते हैं:

```python
def check_duplicates(lst):
    return len(lst) != len(set(lst))
```

यह फ़ंक्शन एक सूची `lst` को इनपुट के रूप में लेता है और यदि सूची में कोई डुप्लिकेट तत्व होते हैं, तो यह `True` लौटाता है, अन्यथा `False` लौटाता है। यह फ़ंक्शन `set` डेटा संरचना का उपयोग करता है, जो डुप्लिकेट तत्वों को हटा देता है, और फिर इसकी लंबाई की तुलना सूची की मूल लंबाई से करता है। यदि ये दोनों लंबाई एक समान नहीं हैं, तो इसका मतलब है कि सूची में कुछ डुप्लिकेट तत्व थे।"
Benchmark Questions Verification V2.ipynb,20,यह जांचने के लिए एक फ़ंक्शन लिखें कि दी गई संख्या वुडबॉल है या नहीं।,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False",[],"['assert is_woodall(383) == True', 'assert is_woodall(254) == False', 'assert is_woodall(200) == False']","वुडबॉल संख्या वह होती है जिसका वर्गमूल पूर्णांक होता है। इसे जांचने के लिए, हम वर्गमूल का उपयोग कर सकते हैं और फिर जांच सकते हैं कि क्या वह पूर्णांक है। यहां एक फ़ंक्शन है जो यह करता है:

```python
import math

def is_whole_number(n):
    return n >= 0 and math.sqrt(n) % 1 == 0

print(is_whole_number(25))  # True
print(is_whole_number(24))  # False
```

इस फ़ंक्शन में, हम पहले जांचते हैं कि क्या संख्या शून्य या उससे अधिक है, क्योंकि ऋणात्मक संख्याओं का वर्गमूल वास्तविक नहीं होता है। फिर हम वर्गमूल लेते हैं और उसे 1 से मॉडुलस करते हैं। यदि परिणाम शून्य है, तो यह संख्या वुडबॉल है।"
Mike's Copy of Benchmark Questions Verification V2.ipynb,56,यह जांचने के लिए एक पायथन फ़ंक्शन लिखें कि क्या कोई दी गई संख्या इसके विपरीत के दोगुने से एक कम है।,"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ",[],"['assert check(70) == False', 'assert check(23) == False', 'assert check(73) == True']","आप निम्नलिखित पायथन फ़ंक्शन का उपयोग कर सकते हैं:

```python
def check_number(n):
    return n == 2 / n - 1
```

यह फ़ंक्शन एक संख्या `n` को इनपुट के रूप में लेता है और यदि `n` अपने विपरीत के दोगुने से एक कम है, तो यह `True` लौटाता है, अन्यथा `False` लौटाता है."
Mike's Copy of Benchmark Questions Verification V2.ipynb,57,अंकों की दी गई सूची के साथ बनाई जा सकने वाली सबसे बड़ी संख्या खोजने के लिए एक पायथन फ़ंक्शन लिखें।,"def find_Max_Num(arr) : 
    n = len(arr)
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ",[],"['assert find_Max_Num([1,2,3]) == 321', 'assert find_Max_Num([4,5,6,1]) == 6541', 'assert find_Max_Num([1,2,3,9]) == 9321']","आप निम्नलिखित पायथन फ़ंक्शन का उपयोग कर सकते हैं:

```python
def largest_number(nums):
    if not nums:
        return ""सूची खाली है""
    nums = [str(num) for num in nums]
    nums.sort(reverse=True, key=lambda x: x*3)
    return int(''.join(nums))
```

यह फ़ंक्शन एक सूची को इनपुट के रूप में लेता है और सबसे बड़ी संख्या वापस लौटाता है जो उस सूची के अंकों से बनाई जा सकती है। यह फ़ंक्शन अंकों को स्ट्रिंग्स में परिवर्तित करता है, ताकि वे आपस में जोड़े जा सकें, और फिर उन्हें तीन बार दोहराकर क्रमबद्ध करता है, ताकि उच्चतम संख्या सबसे पहले आए। अंत में, यह फ़ंक्शन सभी स्ट्रिंग्स को एक साथ जोड़ता है और इसे एक पूर्णांक में परिवर्तित करता है।"
